#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	7.336921464809310400e+00	3.000000000000000000e+00
1.340356766399346533e-01	8.255717686753218487e+00	3.000000000000000000e+00
2.501057906675441256e-01	9.129498702762194995e+00	4.000000000000000000e+00
3.506183684237886844e-01	9.960941088541996891e+00	4.000000000000000000e+00
4.376586748096509272e-01	1.075400841410066199e+01	5.000000000000000000e+00
5.130324748341368313e-01	1.151186626782577349e+01	5.000000000000000000e+00
5.783034965714177744e-01	1.223718469949895038e+01	6.000000000000000000e+00
6.348258727451623340e-01	1.293221782514476814e+01	6.000000000000000000e+00
6.837722339831620033e-01	1.359885860527431589e+01	7.000000000000000000e+00
7.261580365735638143e-01	1.423871008165945895e+01	8.000000000000000000e+00
7.628626294338345382e-01	1.485302488567007018e+01	8.000000000000000000e+00
7.946474973542854148e-01	1.544284962871336475e+01	8.000000000000000000e+00
8.221720589961076797e-01	1.600901846948296381e+01	9.000000000000000000e+00
8.460073473940508126e-01	1.655200729236566914e+01	9.000000000000000000e+00
8.666478567836676250e-01	1.707213405905193326e+01	1.000000000000000000e+01
8.845218015310541970e-01	1.756951888701303233e+01	1.000000000000000000e+01
9.000000000000000222e-01	1.804418727433901992e+01	1.000000000000000000e+01
9.134035676639934431e-01	1.849591649395654613e+01	1.000000000000000000e+01
9.250105790667544348e-01	1.892434639938386454e+01	1.000000000000000000e+01
9.350618368423788684e-01	1.932906852881928117e+01	1.000000000000000000e+01
9.437658674809651371e-01	1.970957931319711065e+01	1.000000000000000000e+01
9.513032474834136609e-01	2.006518219234683542e+01	1.000000000000000000e+01
9.578303496571417552e-01	2.039534860004934202e+01	1.000000000000000000e+01
9.634825872745161890e-01	2.069928846784846854e+01	1.000000000000000000e+01
9.683772233983162225e-01	2.097643479024185709e+01	1.000000000000000000e+01
9.726158036573563370e-01	2.122601851901399073e+01	1.000000000000000000e+01
9.762862629433834982e-01	2.144743928634193608e+01	9.000000000000000000e+00
9.794647497354285193e-01	2.164016691575206508e+01	9.000000000000000000e+00
9.822172058996108124e-01	2.180364000266923341e+01	9.000000000000000000e+00
9.846007347394051257e-01	2.193747688019320918e+01	9.000000000000000000e+00
9.866647856783667958e-01	2.204143816382996945e+01	8.000000000000000000e+00
9.884521801531054308e-01	2.211522501255172912e+01	8.000000000000000000e+00
9.899999999999999911e-01	2.215874631773725767e+01	8.000000000000000000e+00
9.913403567663993110e-01	2.217200857788212431e+01	7.000000000000000000e+00
9.925010579066754213e-01	2.215508109671569770e+01	7.000000000000000000e+00
9.935061836842379313e-01	2.210821422552814752e+01	7.000000000000000000e+00
9.943765867480964804e-01	2.203161021046918577e+01	6.000000000000000000e+00
9.951303247483413994e-01	2.192556224272349397e+01	6.000000000000000000e+00
9.957830349657141866e-01	2.179029318628467138e+01	6.000000000000000000e+00
9.963482587274515856e-01	2.162609172814587311e+01	5.000000000000000000e+00
9.968377223398315889e-01	2.143315607952649060e+01	5.000000000000000000e+00
9.972615803657356448e-01	2.121172421698173238e+01	5.000000000000000000e+00
9.976286262943383498e-01	2.096176458498783290e+01	5.000000000000000000e+00
9.979464749735428297e-01	2.068324464972590704e+01	4.000000000000000000e+00
9.982217205899610590e-01	2.037596013370939829e+01	4.000000000000000000e+00
9.984600734739405015e-01	2.003950978540868988e+01	4.000000000000000000e+00
9.986664785678366352e-01	1.967333492980671039e+01	4.000000000000000000e+00
9.988452180153105653e-01	1.927674653039667163e+01	3.000000000000000000e+00
9.989999999999999991e-01	1.884874762246856150e+01	3.000000000000000000e+00
9.991340356766399422e-01	1.838805934295745814e+01	3.000000000000000000e+00
9.992501057906675310e-01	1.789339323679913463e+01	3.000000000000000000e+00
9.993506183684237598e-01	1.736290585122446473e+01	2.000000000000000000e+00
9.994376586748096036e-01	1.679460740747514436e+01	2.000000000000000000e+00
9.995130324748341399e-01	1.618629493411908271e+01	2.000000000000000000e+00
9.995783034965713965e-01	1.553519812360974583e+01	2.000000000000000000e+00
9.996348258727452141e-01	1.483846048815963314e+01	2.000000000000000000e+00
9.996837722339831922e-01	1.409252539958205119e+01	2.000000000000000000e+00
9.997261580365736089e-01	1.329350927067113730e+01	2.000000000000000000e+00
9.997628626294338128e-01	1.243695128539157757e+01	1.000000000000000000e+00
9.997946474973542497e-01	1.151808335037958209e+01	1.000000000000000000e+00
9.998221720589961503e-01	1.053140478355078180e+01	1.000000000000000000e+00
9.998460073473940390e-01	9.471384376470055599e+00	1.000000000000000000e+00
9.998666478567836968e-01	8.333062243525786172e+00	1.000000000000000000e+00
9.998845218015310898e-01	7.113067040421547915e+00	1.000000000000000000e+00
9.999000000000000110e-01	5.812093333958610053e+00	1.000000000000000000e+00
