lambda	number_discriminable	dynamic_range
0.0	6.0	11.999081075197573
0.3841517889339736	10.0	14.780179224954184
0.620730980926775	14.0	17.575710453109515
0.7664278530909877	18.0	19.511274062002656
0.8561550111712337	22.0	21.375955827461812
0.9114133209589917	24.0	23.22246255350425
0.9454440521883148	25.0	24.68256382293571
0.9664018171371622	24.0	25.80937086582372
0.9793086191888521	22.0	26.711981487777567
0.9872572501429686	19.0	27.42002454461414
0.9921524002964854	17.0	27.943532425466834
0.9951670697614282	14.0	28.262983026352664
0.9970236485583687	12.0	28.313065453889138
0.9981670192891675	10.0	28.007296010548735
0.9988711621083153	8.0	27.27953727100048
0.9993048072038224	7.0	26.12461326846236
0.9995718667601281	5.0	24.619605655798043
0.9997363349101269	4.0	22.86944500428197
0.9998376223260811	3.0	20.926315344930522
0.9999	2.0	18.77710512618577
