#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.231087010354097444e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.301225800064874960e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.371760275216105818e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.443325128408701730e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.516109209508198674e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.589958120144015297e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.664369115606787020e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.738592369491848189e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.811581196257412785e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.882098445657393171e+01
7.628626294338345382e-01	1.900000000000000000e+01	1.948884105313597814e+01
7.946474973542854148e-01	2.000000000000000000e+01	2.010989809403461237e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.068021265777533202e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.120298607270794378e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.168661414660308395e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.214220811604664618e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.258048388184565525e+01
9.134035676639934431e-01	2.700000000000000000e+01	2.301002771572861505e+01
9.250105790667544348e-01	2.800000000000000000e+01	2.343655451202841888e+01
9.350618368423788684e-01	2.900000000000000000e+01	2.386300523259637174e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.429020237587547371e+01
9.513032474834136609e-01	3.100000000000000000e+01	2.471710380907973459e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.514166126682092539e+01
9.634825872745161890e-01	3.200000000000000000e+01	2.556113690229195967e+01
9.683772233983162225e-01	3.300000000000000000e+01	2.597240911893363347e+01
9.726158036573563370e-01	3.300000000000000000e+01	2.637243490988521444e+01
9.762862629433834982e-01	3.300000000000000000e+01	2.675825100939298551e+01
9.794647497354285193e-01	3.300000000000000000e+01	2.712713972552788277e+01
9.822172058996108124e-01	3.300000000000000000e+01	2.747681596236236601e+01
9.846007347394051257e-01	3.300000000000000000e+01	2.780537673178633895e+01
9.866647856783667958e-01	3.300000000000000000e+01	2.811127045222952958e+01
9.884521801531054308e-01	3.300000000000000000e+01	2.839301789570185974e+01
9.899999999999999911e-01	3.200000000000000000e+01	2.864960419354270371e+01
9.913403567663993110e-01	3.200000000000000000e+01	2.887970401343618931e+01
9.925010579066754213e-01	3.100000000000000000e+01	2.908236170223193540e+01
9.935061836842379313e-01	3.000000000000000000e+01	2.925638413591237708e+01
9.943765867480964804e-01	2.900000000000000000e+01	2.940063136203622562e+01
9.951303247483413994e-01	2.700000000000000000e+01	2.951420916860085697e+01
9.957830349657141866e-01	2.600000000000000000e+01	2.959620432159056946e+01
9.963482587274515856e-01	2.500000000000000000e+01	2.964609185932749469e+01
9.968377223398315889e-01	2.300000000000000000e+01	2.966328971743377707e+01
9.972615803657356448e-01	2.200000000000000000e+01	2.964781158130584515e+01
9.976286262943383498e-01	2.100000000000000000e+01	2.959964662039556060e+01
9.979464749735428297e-01	1.900000000000000000e+01	2.951916314419677079e+01
9.982217205899610590e-01	1.800000000000000000e+01	2.940693869668298532e+01
9.984600734739405015e-01	1.700000000000000000e+01	2.926367243981452049e+01
9.986664785678366352e-01	1.600000000000000000e+01	2.909010408561366745e+01
9.988452180153105653e-01	1.400000000000000000e+01	2.888706705525918750e+01
9.989999999999999991e-01	1.300000000000000000e+01	2.865555181654283246e+01
9.991340356766399422e-01	1.200000000000000000e+01	2.839637403822732153e+01
9.992501057906675310e-01	1.100000000000000000e+01	2.811042422723734546e+01
9.993506183684237598e-01	1.000000000000000000e+01	2.779861168162214824e+01
9.994376586748096036e-01	1.000000000000000000e+01	2.746186488634939948e+01
9.995130324748341399e-01	9.000000000000000000e+00	2.710123001692052114e+01
9.995783034965713965e-01	8.000000000000000000e+00	2.671796357034910585e+01
9.996348258727452141e-01	8.000000000000000000e+00	2.631336381248356204e+01
9.996837722339831922e-01	7.000000000000000000e+00	2.588912576415407329e+01
9.997261580365736089e-01	6.000000000000000000e+00	2.544687133947497415e+01
9.997628626294338128e-01	6.000000000000000000e+00	2.498886413416294516e+01
9.997946474973542497e-01	5.000000000000000000e+00	2.451643044125059134e+01
9.998221720589961503e-01	5.000000000000000000e+00	2.403139154408886924e+01
9.998460073473940390e-01	5.000000000000000000e+00	2.353476132531022103e+01
9.998666478567836968e-01	4.000000000000000000e+00	2.302629036192316647e+01
9.998845218015310898e-01	4.000000000000000000e+00	2.250378421298019305e+01
9.999000000000000110e-01	4.000000000000000000e+00	2.196605368661590774e+01
