#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.181695234032899933e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.299350854010106815e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.399737920617616993e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.473537687210412983e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.534974563866252950e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.594127636404467374e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.654920542622772928e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.718339202927105447e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.784023998305416114e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.850983561958708634e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.918055599553293789e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.984052421543087164e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.047986270865150615e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.109070969753001634e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.166803346002571118e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.220962188190656050e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.271588961635936599e+01
9.134035676639934431e-01	2.700000000000000000e+01	2.318933344485407844e+01
9.250105790667544348e-01	2.800000000000000000e+01	2.363372743640599438e+01
9.350618368423788684e-01	2.800000000000000000e+01	2.405341618254064429e+01
9.437658674809651371e-01	2.900000000000000000e+01	2.445245382830652403e+01
9.513032474834136609e-01	2.900000000000000000e+01	2.483442876783808728e+01
9.578303496571417552e-01	2.900000000000000000e+01	2.520197022441741908e+01
9.634825872745161890e-01	3.000000000000000000e+01	2.555673685688927321e+01
9.683772233983162225e-01	2.900000000000000000e+01	2.589964627105539563e+01
9.726158036573563370e-01	2.900000000000000000e+01	2.623056366533105788e+01
9.762862629433834982e-01	2.900000000000000000e+01	2.654885754351603921e+01
9.794647497354285193e-01	2.800000000000000000e+01	2.685322129329330920e+01
9.822172058996108124e-01	2.700000000000000000e+01	2.714216190184742672e+01
9.846007347394051257e-01	2.600000000000000000e+01	2.741365796898421792e+01
9.866647856783667958e-01	2.600000000000000000e+01	2.766571554354056772e+01
9.884521801531054308e-01	2.400000000000000000e+01	2.789627197363312661e+01
9.899999999999999911e-01	2.300000000000000000e+01	2.810322390491243283e+01
9.913403567663993110e-01	2.200000000000000000e+01	2.828474776985495254e+01
9.925010579066754213e-01	2.100000000000000000e+01	2.843899289522612150e+01
9.935061836842379313e-01	2.000000000000000000e+01	2.856443428862134226e+01
9.943765867480964804e-01	1.900000000000000000e+01	2.865963755755160847e+01
9.951303247483413994e-01	1.800000000000000000e+01	2.872349565954320383e+01
9.957830349657141866e-01	1.700000000000000000e+01	2.875508969898946887e+01
9.963482587274515856e-01	1.600000000000000000e+01	2.875372049679626230e+01
9.968377223398315889e-01	1.500000000000000000e+01	2.871900746911617830e+01
9.972615803657356448e-01	1.400000000000000000e+01	2.865073019928994214e+01
9.976286262943383498e-01	1.300000000000000000e+01	2.854892480228659579e+01
9.979464749735428297e-01	1.200000000000000000e+01	2.841386198261723095e+01
9.982217205899610590e-01	1.100000000000000000e+01	2.824604524950160567e+01
9.984600734739405015e-01	1.000000000000000000e+01	2.804614304822061399e+01
9.986664785678366352e-01	1.000000000000000000e+01	2.781498880407472285e+01
9.988452180153105653e-01	9.000000000000000000e+00	2.755356027456523549e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.726289615012145973e+01
9.991340356766399422e-01	8.000000000000000000e+00	2.694394505665380990e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.659773043493485645e+01
9.993506183684237598e-01	7.000000000000000000e+00	2.622516931631494330e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.582687085108531733e+01
9.995130324748341399e-01	6.000000000000000000e+00	2.540316449049949554e+01
9.995783034965713965e-01	6.000000000000000000e+00	2.495424009911854313e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.447959582679687429e+01
9.996837722339831922e-01	5.000000000000000000e+00	2.397850345352898316e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.344953320379416084e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.289059080044491878e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.229882700082225711e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.167022482918692816e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.099971789160655788e+01
9.998666478567836968e-01	3.000000000000000000e+00	2.028031878456328840e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.950283523254630680e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.865537266460352228e+01
