#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.159853119404236743e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.256414044651741690e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.356224935504786622e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.444306109101728453e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.515472870326106758e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.576454879709508816e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.633793866263738437e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.691396368665644445e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.751008329913444328e+01
7.261580365735638143e-01	1.600000000000000000e+01	1.812986740827101073e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.876956561580569627e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.942135287439685243e+01
8.221720589961076797e-01	2.000000000000000000e+01	2.007570499550730858e+01
8.460073473940508126e-01	2.100000000000000000e+01	2.072207501168249877e+01
8.666478567836676250e-01	2.200000000000000000e+01	2.134960959672701719e+01
8.845218015310541970e-01	2.300000000000000000e+01	2.194814999610536432e+01
9.000000000000000222e-01	2.300000000000000000e+01	2.250962655095110065e+01
9.134035676639934431e-01	2.400000000000000000e+01	2.302892853457162303e+01
9.250105790667544348e-01	2.400000000000000000e+01	2.350493508818856725e+01
9.350618368423788684e-01	2.400000000000000000e+01	2.393994603770444485e+01
9.437658674809651371e-01	2.400000000000000000e+01	2.433899836800516425e+01
9.513032474834136609e-01	2.400000000000000000e+01	2.470825938819005074e+01
9.578303496571417552e-01	2.400000000000000000e+01	2.505347135368623412e+01
9.634825872745161890e-01	2.400000000000000000e+01	2.537957821239378831e+01
9.683772233983162225e-01	2.300000000000000000e+01	2.568990837073868505e+01
9.726158036573563370e-01	2.300000000000000000e+01	2.598623376678501984e+01
9.762862629433834982e-01	2.200000000000000000e+01	2.626926189739705464e+01
9.794647497354285193e-01	2.200000000000000000e+01	2.653837683788356117e+01
9.822172058996108124e-01	2.100000000000000000e+01	2.679236312382744600e+01
9.846007347394051257e-01	2.000000000000000000e+01	2.702945868441344146e+01
9.866647856783667958e-01	2.000000000000000000e+01	2.724757046599178523e+01
9.884521801531054308e-01	1.900000000000000000e+01	2.744469913837573927e+01
9.899999999999999911e-01	1.800000000000000000e+01	2.761869544500254037e+01
9.913403567663993110e-01	1.700000000000000000e+01	2.776775447717232836e+01
9.925010579066754213e-01	1.600000000000000000e+01	2.789033336865918145e+01
9.935061836842379313e-01	1.600000000000000000e+01	2.798510281726685633e+01
9.943765867480964804e-01	1.500000000000000000e+01	2.805120153014269135e+01
9.951303247483413994e-01	1.400000000000000000e+01	2.808798356089482695e+01
9.957830349657141866e-01	1.300000000000000000e+01	2.809521900599650124e+01
9.963482587274515856e-01	1.300000000000000000e+01	2.807285973174210625e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.802108751476305315e+01
9.972615803657356448e-01	1.100000000000000000e+01	2.794027852014831836e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.783098625038233465e+01
9.979464749735428297e-01	1.000000000000000000e+01	2.769370467841510930e+01
9.982217205899610590e-01	9.000000000000000000e+00	2.752895913680868389e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.733727335467683162e+01
9.986664785678366352e-01	8.000000000000000000e+00	2.711892695675972931e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.687417322534900066e+01
9.989999999999999991e-01	7.000000000000000000e+00	2.660308307827703089e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.630552990562034665e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.598122617352463237e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.562959557758683005e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.525014417637594377e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.484212077327565282e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.440471389749762920e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.393726677180275075e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.343888424945418336e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.290885576423988823e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.234676206259383946e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.175190083930791829e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.112390024481693729e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.046235687011493809e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.976666681258971181e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.903606951635050848e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.826933278261828164e+01
