#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	7.000000000000000000e+00	1.240775223823460394e+01
1.340356766399346533e-01	8.000000000000000000e+00	1.310969363900712636e+01
2.501057906675441256e-01	9.000000000000000000e+00	1.387605931611822641e+01
3.506183684237886844e-01	1.000000000000000000e+01	1.462079528724465227e+01
4.376586748096509272e-01	1.100000000000000000e+01	1.531884949648740069e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.598516780878265209e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.663063758977883566e+01
6.348258727451623340e-01	1.500000000000000000e+01	1.726357785977257819e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.789033142859332770e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.851482855171749620e+01
7.628626294338345382e-01	1.900000000000000000e+01	1.913968602198133695e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.976647442225078777e+01
8.221720589961076797e-01	2.200000000000000000e+01	2.039481567238571813e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.102223103892037415e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.164389747187681223e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.225302125300004619e+01
9.000000000000000222e-01	2.700000000000000000e+01	2.284232529844689807e+01
9.134035676639934431e-01	2.800000000000000000e+01	2.340495319060833523e+01
9.250105790667544348e-01	2.900000000000000000e+01	2.393551104270036944e+01
9.350618368423788684e-01	3.000000000000000000e+01	2.443088966935736650e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.489034165855099090e+01
9.513032474834136609e-01	3.100000000000000000e+01	2.531512816787566678e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.570799862511374911e+01
9.634825872745161890e-01	3.200000000000000000e+01	2.607237983523382496e+01
9.683772233983162225e-01	3.300000000000000000e+01	2.641194174660043359e+01
9.726158036573563370e-01	3.300000000000000000e+01	2.673018729781669123e+01
9.762862629433834982e-01	3.300000000000000000e+01	2.702998028543485987e+01
9.794647497354285193e-01	3.400000000000000000e+01	2.731369008321915715e+01
9.822172058996108124e-01	3.400000000000000000e+01	2.758303799532530221e+01
9.846007347394051257e-01	3.300000000000000000e+01	2.783901917614599952e+01
9.866647856783667958e-01	3.300000000000000000e+01	2.808189296245215871e+01
9.884521801531054308e-01	3.300000000000000000e+01	2.831149009791321802e+01
9.899999999999999911e-01	3.200000000000000000e+01	2.852689484148564247e+01
9.913403567663993110e-01	3.200000000000000000e+01	2.872668748218530155e+01
9.925010579066754213e-01	3.100000000000000000e+01	2.890892191192771321e+01
9.935061836842379313e-01	3.000000000000000000e+01	2.907140562651296278e+01
9.943765867480964804e-01	2.900000000000000000e+01	2.921168586432346004e+01
9.951303247483413994e-01	2.800000000000000000e+01	2.932724400125250952e+01
9.957830349657141866e-01	2.600000000000000000e+01	2.941549680158818347e+01
9.963482587274515856e-01	2.500000000000000000e+01	2.947428281294764929e+01
9.968377223398315889e-01	2.400000000000000000e+01	2.950153747773381596e+01
9.972615803657356448e-01	2.200000000000000000e+01	2.949588432795649595e+01
9.976286262943383498e-01	2.100000000000000000e+01	2.945615492845423233e+01
9.979464749735428297e-01	1.900000000000000000e+01	2.938185878318243738e+01
9.982217205899610590e-01	1.800000000000000000e+01	2.927290723487197965e+01
9.984600734739405015e-01	1.700000000000000000e+01	2.912970556540994238e+01
9.986664785678366352e-01	1.600000000000000000e+01	2.895318730967595755e+01
9.988452180153105653e-01	1.500000000000000000e+01	2.874451899938992838e+01
9.989999999999999991e-01	1.300000000000000000e+01	2.850539401644997284e+01
9.991340356766399422e-01	1.200000000000000000e+01	2.823743368158510947e+01
9.992501057906675310e-01	1.100000000000000000e+01	2.794255934801737951e+01
9.993506183684237598e-01	1.100000000000000000e+01	2.762267985802154158e+01
9.994376586748096036e-01	1.000000000000000000e+01	2.727967225705316423e+01
9.995130324748341399e-01	9.000000000000000000e+00	2.691523885806656580e+01
9.995783034965713965e-01	8.000000000000000000e+00	2.653095914864199756e+01
9.996348258727452141e-01	8.000000000000000000e+00	2.612810986678478287e+01
9.996837722339831922e-01	7.000000000000000000e+00	2.570715291903918143e+01
9.997261580365736089e-01	6.000000000000000000e+00	2.526908014052670737e+01
9.997628626294338128e-01	6.000000000000000000e+00	2.481305580149346213e+01
9.997946474973542497e-01	5.000000000000000000e+00	2.433846636854947576e+01
9.998221720589961503e-01	5.000000000000000000e+00	2.384341816461508046e+01
9.998460073473940390e-01	5.000000000000000000e+00	2.332491505662247278e+01
9.998666478567836968e-01	4.000000000000000000e+00	2.278012249294148717e+01
9.998845218015310898e-01	4.000000000000000000e+00	2.220332984431814083e+01
9.999000000000000110e-01	3.000000000000000000e+00	2.158693129663090460e+01
