#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.217094767835218150e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.299684602767408492e+01
2.501057906675441256e-01	9.000000000000000000e+00	1.394743468607460812e+01
3.506183684237886844e-01	1.000000000000000000e+01	1.478017013521622403e+01
4.376586748096509272e-01	1.100000000000000000e+01	1.548315774649648446e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.612567698591395882e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.674409760160849103e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.735658420260079282e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.797347160051073445e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.859986735495236587e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.923560364184720228e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.987601874412547787e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.051301846256601280e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.113689811879128300e+01
8.666478567836676250e-01	2.300000000000000000e+01	2.173777175118602401e+01
8.845218015310541970e-01	2.300000000000000000e+01	2.230744953247005924e+01
9.000000000000000222e-01	2.400000000000000000e+01	2.284031552270284848e+01
9.134035676639934431e-01	2.400000000000000000e+01	2.333391536915730313e+01
9.250105790667544348e-01	2.500000000000000000e+01	2.378886693584171397e+01
9.350618368423788684e-01	2.500000000000000000e+01	2.420803843532672772e+01
9.437658674809651371e-01	2.500000000000000000e+01	2.459527553718199044e+01
9.513032474834136609e-01	2.500000000000000000e+01	2.495507364003623607e+01
9.578303496571417552e-01	2.400000000000000000e+01	2.529129106335087229e+01
9.634825872745161890e-01	2.400000000000000000e+01	2.560688474546663684e+01
9.683772233983162225e-01	2.400000000000000000e+01	2.590380934418685399e+01
9.726158036573563370e-01	2.300000000000000000e+01	2.618313936132194186e+01
9.762862629433834982e-01	2.300000000000000000e+01	2.644486440967119023e+01
9.794647497354285193e-01	2.200000000000000000e+01	2.668854730964409327e+01
9.822172058996108124e-01	2.100000000000000000e+01	2.691331253368387877e+01
9.846007347394051257e-01	2.100000000000000000e+01	2.711819848863543569e+01
9.866647856783667958e-01	2.000000000000000000e+01	2.730212540094574791e+01
9.884521801531054308e-01	1.900000000000000000e+01	2.746426206856499164e+01
9.899999999999999911e-01	1.800000000000000000e+01	2.760402632668020573e+01
9.913403567663993110e-01	1.800000000000000000e+01	2.772077442984512174e+01
9.925010579066754213e-01	1.700000000000000000e+01	2.781417024850804154e+01
9.935061836842379313e-01	1.600000000000000000e+01	2.788401050169932560e+01
9.943765867480964804e-01	1.500000000000000000e+01	2.793000640305147186e+01
9.951303247483413994e-01	1.500000000000000000e+01	2.795196921862525130e+01
9.957830349657141866e-01	1.400000000000000000e+01	2.794983880893920158e+01
9.963482587274515856e-01	1.300000000000000000e+01	2.792340046074534143e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.787252625833749775e+01
9.972615803657356448e-01	1.200000000000000000e+01	2.779721302253440385e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.769728091467827724e+01
9.979464749735428297e-01	1.000000000000000000e+01	2.757264318220272514e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.742304394852433092e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.724827201085444983e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.704799361759735632e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.682164862176616538e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.656870632496232076e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.628851445180804802e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.598027624043504957e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.564328245679539720e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.527671613919071092e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.487996293558538241e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.445259007450349031e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.399430363600254879e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.350527111877705977e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.298581432627376486e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.243653416461777184e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.185828627044630323e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.125191101897485169e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.061825775502301639e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.995784083138545029e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.927071014883928157e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.855620955828058882e+01
