#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.220694314688324233e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.295468095691949806e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.371852736924295968e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.443695735179860051e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.508578266942645385e+01
5.130324748341368313e-01	1.100000000000000000e+01	1.570749770853887028e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.633633958185896873e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.698617437864490043e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.765831714487790549e+01
7.261580365735638143e-01	1.600000000000000000e+01	1.834659764529712334e+01
7.628626294338345382e-01	1.700000000000000000e+01	1.904081659401930438e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.972883807474801543e+01
8.221720589961076797e-01	2.000000000000000000e+01	2.039810819547264487e+01
8.460073473940508126e-01	2.100000000000000000e+01	2.103726049884477334e+01
8.666478567836676250e-01	2.200000000000000000e+01	2.163723136296498595e+01
8.845218015310541970e-01	2.200000000000000000e+01	2.219264027660886995e+01
9.000000000000000222e-01	2.300000000000000000e+01	2.270228602944760610e+01
9.134035676639934431e-01	2.300000000000000000e+01	2.316885222654491727e+01
9.250105790667544348e-01	2.400000000000000000e+01	2.359790525387008486e+01
9.350618368423788684e-01	2.400000000000000000e+01	2.399582314709681441e+01
9.437658674809651371e-01	2.400000000000000000e+01	2.436890897770320663e+01
9.513032474834136609e-01	2.400000000000000000e+01	2.472231040062722229e+01
9.578303496571417552e-01	2.300000000000000000e+01	2.505928574802524977e+01
9.634825872745161890e-01	2.300000000000000000e+01	2.538177771056911070e+01
9.683772233983162225e-01	2.300000000000000000e+01	2.569025882228153534e+01
9.726158036573563370e-01	2.200000000000000000e+01	2.598415955570288105e+01
9.762862629433834982e-01	2.200000000000000000e+01	2.626239313295597100e+01
9.794647497354285193e-01	2.100000000000000000e+01	2.652356705099139234e+01
9.822172058996108124e-01	2.100000000000000000e+01	2.676622970879266816e+01
9.846007347394051257e-01	2.000000000000000000e+01	2.698907001892549573e+01
9.866647856783667958e-01	1.900000000000000000e+01	2.719102474748752485e+01
9.884521801531054308e-01	1.800000000000000000e+01	2.737120537766157824e+01
9.899999999999999911e-01	1.800000000000000000e+01	2.752895201924091850e+01
9.913403567663993110e-01	1.700000000000000000e+01	2.766385981510069314e+01
9.925010579066754213e-01	1.600000000000000000e+01	2.777575367687446928e+01
9.935061836842379313e-01	1.600000000000000000e+01	2.786418126539683371e+01
9.943765867480964804e-01	1.500000000000000000e+01	2.792893043220072613e+01
9.951303247483413994e-01	1.400000000000000000e+01	2.796954011351462555e+01
9.957830349657141866e-01	1.400000000000000000e+01	2.798549291958864416e+01
9.963482587274515856e-01	1.300000000000000000e+01	2.797600040818679545e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.794022405660125941e+01
9.972615803657356448e-01	1.200000000000000000e+01	2.787713413693014175e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.778564328076376100e+01
9.979464749735428297e-01	1.000000000000000000e+01	2.766452415842849177e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.751287714496222137e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.732975608368366949e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.711462810979358551e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.686706886388573423e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.658712014462292927e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.627502514117164978e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.593133741910884282e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.555690804882210188e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.515260337863274032e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.471940888886046395e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.425845089009275313e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.377075275908995167e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.325738512043617234e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.271917185058988053e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.215704143851338870e+01
9.997946474973542497e-01	3.000000000000000000e+00	2.157147951211499759e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.096289465626913540e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.033130225097906774e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.967632660985758264e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.899708808963741546e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.829203533638396806e+01
