#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.189252901825481246e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.265656542029588749e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.345044162129170218e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.423612419510285498e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.499249007548418078e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.572826232767567056e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.645540175966236163e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.717993611468011750e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.790177768086028820e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.861637430269302484e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.931643860411274716e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.999359773489807779e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.063984932384298077e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.124920869220526143e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.181878372062582727e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.234912822975573121e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.284361311219725366e+01
9.134035676639934431e-01	2.700000000000000000e+01	2.330773794094924511e+01
9.250105790667544348e-01	2.800000000000000000e+01	2.374726898474991543e+01
9.350618368423788684e-01	2.900000000000000000e+01	2.416765451951239285e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.457278755277505056e+01
9.513032474834136609e-01	3.000000000000000000e+01	2.496527213288191049e+01
9.578303496571417552e-01	3.000000000000000000e+01	2.534606366202855199e+01
9.634825872745161890e-01	3.100000000000000000e+01	2.571499333763444639e+01
9.683772233983162225e-01	3.100000000000000000e+01	2.607109956104814685e+01
9.726158036573563370e-01	3.100000000000000000e+01	2.641265448699720153e+01
9.762862629433834982e-01	3.000000000000000000e+01	2.673766118141607251e+01
9.794647497354285193e-01	3.000000000000000000e+01	2.704426142170610703e+01
9.822172058996108124e-01	2.900000000000000000e+01	2.733029392312208472e+01
9.846007347394051257e-01	2.900000000000000000e+01	2.759412421939654791e+01
9.866647856783667958e-01	2.800000000000000000e+01	2.783416588750675302e+01
9.884521801531054308e-01	2.700000000000000000e+01	2.804922564033790167e+01
9.899999999999999911e-01	2.600000000000000000e+01	2.823837948811434373e+01
9.913403567663993110e-01	2.500000000000000000e+01	2.840103483303839482e+01
9.925010579066754213e-01	2.300000000000000000e+01	2.853697760241492176e+01
9.935061836842379313e-01	2.200000000000000000e+01	2.864591078945282732e+01
9.943765867480964804e-01	2.100000000000000000e+01	2.872792369043803262e+01
9.951303247483413994e-01	2.000000000000000000e+01	2.878288393379160226e+01
9.957830349657141866e-01	1.900000000000000000e+01	2.881071744671567814e+01
9.963482587274515856e-01	1.700000000000000000e+01	2.881122219181190758e+01
9.968377223398315889e-01	1.600000000000000000e+01	2.878393775805448485e+01
9.972615803657356448e-01	1.500000000000000000e+01	2.872819538288241148e+01
9.976286262943383498e-01	1.400000000000000000e+01	2.864334433984400619e+01
9.979464749735428297e-01	1.300000000000000000e+01	2.852852844739426530e+01
9.982217205899610590e-01	1.200000000000000000e+01	2.838298358834531498e+01
9.984600734739405015e-01	1.100000000000000000e+01	2.820596372931232665e+01
9.986664785678366352e-01	1.100000000000000000e+01	2.799726247217652997e+01
9.988452180153105653e-01	1.000000000000000000e+01	2.775672652845976884e+01
9.989999999999999991e-01	9.000000000000000000e+00	2.748463196719708890e+01
9.991340356766399422e-01	9.000000000000000000e+00	2.718177301534197099e+01
9.992501057906675310e-01	8.000000000000000000e+00	2.684900080300479885e+01
9.993506183684237598e-01	7.000000000000000000e+00	2.648759083250268276e+01
9.994376586748096036e-01	7.000000000000000000e+00	2.609867030540796051e+01
9.995130324748341399e-01	6.000000000000000000e+00	2.568360080871231688e+01
9.995783034965713965e-01	6.000000000000000000e+00	2.524340333804721226e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.477916479182866993e+01
9.996837722339831922e-01	5.000000000000000000e+00	2.429158954026894079e+01
9.997261580365736089e-01	5.000000000000000000e+00	2.378119588103393411e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.324822821718825594e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.269266255415050182e+01
9.998221720589961503e-01	4.000000000000000000e+00	2.211414866747296770e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.151186133161562708e+01
9.998666478567836968e-01	3.000000000000000000e+00	2.088463235183764866e+01
9.998845218015310898e-01	3.000000000000000000e+00	2.023073430804574357e+01
9.999000000000000110e-01	3.000000000000000000e+00	1.954787954900936242e+01
