#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.205038774760351750e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.276570696380271741e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.343700300896710331e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.410244610154901501e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.479211542760481635e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.549902062858237173e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.621368722988335875e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.693339331080268551e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.765721520412396472e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.838243225586844076e+01
7.628626294338345382e-01	1.900000000000000000e+01	1.910353286183302401e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.981274073959598425e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.050096424319213995e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.115912819260076461e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.177969110165262734e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.235788232674682163e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.289232523146588250e+01
9.134035676639934431e-01	2.800000000000000000e+01	2.338511223893055302e+01
9.250105790667544348e-01	2.900000000000000000e+01	2.384087585365905682e+01
9.350618368423788684e-01	2.900000000000000000e+01	2.426571538214507129e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.466594644056021579e+01
9.513032474834136609e-01	3.100000000000000000e+01	2.504732027993517107e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.541460344012905637e+01
9.634825872745161890e-01	3.200000000000000000e+01	2.577126160840224145e+01
9.683772233983162225e-01	3.300000000000000000e+01	2.611959584596686668e+01
9.726158036573563370e-01	3.300000000000000000e+01	2.646096018527732596e+01
9.762862629433834982e-01	3.400000000000000000e+01	2.679567694049710269e+01
9.794647497354285193e-01	3.400000000000000000e+01	2.712354512136101903e+01
9.822172058996108124e-01	3.400000000000000000e+01	2.744374760283343306e+01
9.846007347394051257e-01	3.400000000000000000e+01	2.775509117922230118e+01
9.866647856783667958e-01	3.500000000000000000e+01	2.805608854351493164e+01
9.884521801531054308e-01	3.400000000000000000e+01	2.834511766237918096e+01
9.899999999999999911e-01	3.400000000000000000e+01	2.862030332805957400e+01
9.913403567663993110e-01	3.400000000000000000e+01	2.887964574429442521e+01
9.925010579066754213e-01	3.400000000000000000e+01	2.912091379631558041e+01
9.935061836842379313e-01	3.300000000000000000e+01	2.934209486175530657e+01
9.943765867480964804e-01	3.200000000000000000e+01	2.954057468132840825e+01
9.951303247483413994e-01	3.100000000000000000e+01	2.971415822478077473e+01
9.957830349657141866e-01	3.000000000000000000e+01	2.986029649106948369e+01
9.963482587274515856e-01	2.900000000000000000e+01	2.997669311532801473e+01
9.968377223398315889e-01	2.800000000000000000e+01	3.006111538605435030e+01
9.972615803657356448e-01	2.600000000000000000e+01	3.011175526990209406e+01
9.976286262943383498e-01	2.500000000000000000e+01	3.012706213522370291e+01
9.979464749735428297e-01	2.300000000000000000e+01	3.010613032895580332e+01
9.982217205899610590e-01	2.200000000000000000e+01	3.004835440594860785e+01
9.984600734739405015e-01	2.000000000000000000e+01	2.995377874129982843e+01
9.986664785678366352e-01	1.900000000000000000e+01	2.982294800002490476e+01
9.988452180153105653e-01	1.800000000000000000e+01	2.965686651200149271e+01
9.989999999999999991e-01	1.600000000000000000e+01	2.945655261986709661e+01
9.991340356766399422e-01	1.500000000000000000e+01	2.922348836124658789e+01
9.992501057906675310e-01	1.400000000000000000e+01	2.895892884025564129e+01
9.993506183684237598e-01	1.300000000000000000e+01	2.866495250383752591e+01
9.994376586748096036e-01	1.200000000000000000e+01	2.834238151123255989e+01
9.995130324748341399e-01	1.100000000000000000e+01	2.799334998527741192e+01
9.995783034965713965e-01	1.000000000000000000e+01	2.761834682174131927e+01
9.996348258727452141e-01	9.000000000000000000e+00	2.721937361971589198e+01
9.996837722339831922e-01	9.000000000000000000e+00	2.679761840090172953e+01
9.997261580365736089e-01	8.000000000000000000e+00	2.635255458310555809e+01
9.997628626294338128e-01	7.000000000000000000e+00	2.588727278255657183e+01
9.997946474973542497e-01	7.000000000000000000e+00	2.540189440040506241e+01
9.998221720589961503e-01	6.000000000000000000e+00	2.489610104364679088e+01
9.998460073473940390e-01	6.000000000000000000e+00	2.437047394109170995e+01
9.998666478567836968e-01	5.000000000000000000e+00	2.382666037906108158e+01
9.998845218015310898e-01	5.000000000000000000e+00	2.326300816654548242e+01
9.999000000000000110e-01	4.000000000000000000e+00	2.267499437158273068e+01
