#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.166760135445521129e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.249996695665463520e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.334630567574746074e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.417632173744591384e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.496559385212067639e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.571009550249750930e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.642175203195740707e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.711134726187624722e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.778078140693254028e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.842597855248830996e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.904376396906765834e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.963610341770021961e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.020795943222842084e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.076431987818575919e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.130841600675585923e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.184131936140713037e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.236263492151623211e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.287116131764891236e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.336545122325237855e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.384426384749360750e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.430685209414612657e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.475282001205773597e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.518214544777588415e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.559514175215698373e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.599216338881737443e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.637365939686088367e+01	3.400000000000000000e+01
9.762862629433834982e-01	2.673991762615231238e+01	3.400000000000000000e+01
9.794647497354285193e-01	2.709108282831491010e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.742716307646290019e+01	3.500000000000000000e+01
9.846007347394051257e-01	2.774794503125065859e+01	3.500000000000000000e+01
9.866647856783667958e-01	2.805300310934214636e+01	3.500000000000000000e+01
9.884521801531054308e-01	2.834174533921085626e+01	3.500000000000000000e+01
9.899999999999999911e-01	2.861340479782089474e+01	3.500000000000000000e+01
9.913403567663993110e-01	2.886708425802047984e+01	3.500000000000000000e+01
9.925010579066754213e-01	2.910195155431896552e+01	3.500000000000000000e+01
9.935061836842379313e-01	2.931674262244079543e+01	3.400000000000000000e+01
9.943765867480964804e-01	2.951030549881901521e+01	3.400000000000000000e+01
9.951303247483413994e-01	2.968159461547324796e+01	3.300000000000000000e+01
9.957830349657141866e-01	2.982911980808221131e+01	3.200000000000000000e+01
9.963482587274515856e-01	2.995175693850561771e+01	3.100000000000000000e+01
9.968377223398315889e-01	3.004813275650619531e+01	3.000000000000000000e+01
9.972615803657356448e-01	3.011698001155636106e+01	2.900000000000000000e+01
9.976286262943383498e-01	3.015698171954948492e+01	2.700000000000000000e+01
9.979464749735428297e-01	3.016720063361940518e+01	2.600000000000000000e+01
9.982217205899610590e-01	3.014643853768950521e+01	2.400000000000000000e+01
9.984600734739405015e-01	3.009403935849034184e+01	2.300000000000000000e+01
9.986664785678366352e-01	3.000922663810923652e+01	2.100000000000000000e+01
9.988452180153105653e-01	2.989162041431416128e+01	2.000000000000000000e+01
9.989999999999999991e-01	2.974097494641378958e+01	1.900000000000000000e+01
9.991340356766399422e-01	2.955725354348714973e+01	1.700000000000000000e+01
9.992501057906675310e-01	2.934063222876282140e+01	1.600000000000000000e+01
9.993506183684237598e-01	2.909142638889253973e+01	1.500000000000000000e+01
9.994376586748096036e-01	2.881026054316988549e+01	1.400000000000000000e+01
9.995130324748341399e-01	2.849785397753474570e+01	1.300000000000000000e+01
9.995783034965713965e-01	2.815524283754053059e+01	1.200000000000000000e+01
9.996348258727452141e-01	2.778368447847053702e+01	1.100000000000000000e+01
9.996837722339831922e-01	2.738465209405026712e+01	1.000000000000000000e+01
9.997261580365736089e-01	2.695968790274257287e+01	9.000000000000000000e+00
9.997628626294338128e-01	2.651049942552068828e+01	8.000000000000000000e+00
9.997946474973542497e-01	2.603853760349639401e+01	7.000000000000000000e+00
9.998221720589961503e-01	2.554494344949343798e+01	7.000000000000000000e+00
9.998460073473940390e-01	2.503029648413145125e+01	6.000000000000000000e+00
9.998666478567836968e-01	2.449427639729872652e+01	6.000000000000000000e+00
9.998845218015310898e-01	2.393575200369463474e+01	5.000000000000000000e+00
9.999000000000000110e-01	2.335232248741871786e+01	5.000000000000000000e+00
