#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.198353160176589327e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.277201842516258345e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.356458749618462534e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.436004314567451345e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.514814112332025431e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.592081192880030471e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.667634597038271238e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.741319356478132008e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.812630889941252121e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.881014300524684657e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.946247236784035906e+01	1.800000000000000000e+01
7.946474973542854148e-01	2.008366620158554383e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.067535968477560715e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.123935962070986960e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.177739729169086047e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.229135866283241540e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.278337241185937501e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.325549454403994076e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.370984859315010596e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.414826415952610361e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.457217922849220670e+01	2.900000000000000000e+01
9.513032474834136609e-01	2.498263356031031179e+01	3.000000000000000000e+01
9.578303496571417552e-01	2.538005051853564709e+01	3.000000000000000000e+01
9.634825872745161890e-01	2.576439808940126142e+01	3.100000000000000000e+01
9.683772233983162225e-01	2.613528088851965947e+01	3.100000000000000000e+01
9.726158036573563370e-01	2.649158210866313823e+01	3.100000000000000000e+01
9.762862629433834982e-01	2.683193238139091719e+01	3.000000000000000000e+01
9.794647497354285193e-01	2.715469426289780586e+01	3.000000000000000000e+01
9.822172058996108124e-01	2.745788221151868669e+01	2.900000000000000000e+01
9.846007347394051257e-01	2.773944108709141076e+01	2.900000000000000000e+01
9.866647856783667958e-01	2.799709766196516014e+01	2.800000000000000000e+01
9.884521801531054308e-01	2.822873070129931250e+01	2.700000000000000000e+01
9.899999999999999911e-01	2.843232931538724273e+01	2.500000000000000000e+01
9.913403567663993110e-01	2.860605979230519935e+01	2.400000000000000000e+01
9.925010579066754213e-01	2.874834885982026123e+01	2.300000000000000000e+01
9.935061836842379313e-01	2.885807367612441965e+01	2.200000000000000000e+01
9.943765867480964804e-01	2.893434001026047042e+01	2.100000000000000000e+01
9.951303247483413994e-01	2.897694332357954394e+01	2.000000000000000000e+01
9.957830349657141866e-01	2.898582280766491692e+01	1.800000000000000000e+01
9.963482587274515856e-01	2.896145851856568498e+01	1.700000000000000000e+01
9.968377223398315889e-01	2.890461547126532338e+01	1.600000000000000000e+01
9.972615803657356448e-01	2.881628793561052504e+01	1.500000000000000000e+01
9.976286262943383498e-01	2.869775393721490175e+01	1.400000000000000000e+01
9.979464749735428297e-01	2.855015688925471196e+01	1.300000000000000000e+01
9.982217205899610590e-01	2.837482034388156649e+01	1.300000000000000000e+01
9.984600734739405015e-01	2.817278900336131642e+01	1.200000000000000000e+01
9.986664785678366352e-01	2.794510268631212213e+01	1.100000000000000000e+01
9.988452180153105653e-01	2.769259988800154559e+01	1.000000000000000000e+01
9.989999999999999991e-01	2.741579741827746020e+01	1.000000000000000000e+01
9.991340356766399422e-01	2.711512969336320111e+01	9.000000000000000000e+00
9.992501057906675310e-01	2.679084112487959857e+01	8.000000000000000000e+00
9.993506183684237598e-01	2.644326238618966229e+01	8.000000000000000000e+00
9.994376586748096036e-01	2.607233137637214782e+01	7.000000000000000000e+00
9.995130324748341399e-01	2.567810632831852402e+01	7.000000000000000000e+00
9.995783034965713965e-01	2.526069239689587675e+01	6.000000000000000000e+00
9.996348258727452141e-01	2.482018486097850740e+01	6.000000000000000000e+00
9.996837722339831922e-01	2.435721395024431857e+01	5.000000000000000000e+00
9.997261580365736089e-01	2.387272025814090171e+01	5.000000000000000000e+00
9.997628626294338128e-01	2.336876343903600883e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.284849351002024775e+01	4.000000000000000000e+00
9.998221720589961503e-01	2.231606856570003217e+01	4.000000000000000000e+00
9.998460073473940390e-01	2.177667800516002927e+01	3.000000000000000000e+00
9.998666478567836968e-01	2.123576643222162375e+01	3.000000000000000000e+00
9.998845218015310898e-01	2.069877101796529217e+01	3.000000000000000000e+00
9.999000000000000110e-01	2.017069621421438086e+01	3.000000000000000000e+00
