#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.158389184620036438e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.245542194695016214e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.330580238255384984e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.410920087243098742e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.486189741642724371e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.557322811326231715e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.625641403720596401e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.692258035772535152e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.757826177414359847e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.822540758161909480e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.886266315362940205e+01	1.800000000000000000e+01
7.946474973542854148e-01	1.948694242157166912e+01	1.900000000000000000e+01
8.221720589961076797e-01	2.009450321996502709e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.068228797970310140e+01	2.200000000000000000e+01
8.666478567836676250e-01	2.124825130218687974e+01	2.300000000000000000e+01
8.845218015310541970e-01	2.179159332983894615e+01	2.400000000000000000e+01
9.000000000000000222e-01	2.231254474295632662e+01	2.500000000000000000e+01
9.134035676639934431e-01	2.281199184240081479e+01	2.500000000000000000e+01
9.250105790667544348e-01	2.329097363605512427e+01	2.600000000000000000e+01
9.350618368423788684e-01	2.375040492483181609e+01	2.600000000000000000e+01
9.437658674809651371e-01	2.419081807583521737e+01	2.700000000000000000e+01
9.513032474834136609e-01	2.461246676576889669e+01	2.700000000000000000e+01
9.578303496571417552e-01	2.501498547053316912e+01	2.700000000000000000e+01
9.634825872745161890e-01	2.539781391761359686e+01	2.600000000000000000e+01
9.683772233983162225e-01	2.576002790771675066e+01	2.600000000000000000e+01
9.726158036573563370e-01	2.610066906173353374e+01	2.600000000000000000e+01
9.762862629433834982e-01	2.641844489962927511e+01	2.500000000000000000e+01
9.794647497354285193e-01	2.671221346896970061e+01	2.400000000000000000e+01
9.822172058996108124e-01	2.698072725005399519e+01	2.300000000000000000e+01
9.846007347394051257e-01	2.722281099459666009e+01	2.200000000000000000e+01
9.866647856783667958e-01	2.743727844918643655e+01	2.100000000000000000e+01
9.884521801531054308e-01	2.762302704767762762e+01	2.000000000000000000e+01
9.899999999999999911e-01	2.777913344430718112e+01	1.900000000000000000e+01
9.913403567663993110e-01	2.790486315541346585e+01	1.800000000000000000e+01
9.925010579066754213e-01	2.799950087871107129e+01	1.700000000000000000e+01
9.935061836842379313e-01	2.806266488340072840e+01	1.600000000000000000e+01
9.943765867480964804e-01	2.809434948478362770e+01	1.600000000000000000e+01
9.951303247483413994e-01	2.809465537464494389e+01	1.500000000000000000e+01
9.957830349657141866e-01	2.806411387393666246e+01	1.400000000000000000e+01
9.963482587274515856e-01	2.800349446076266346e+01	1.300000000000000000e+01
9.968377223398315889e-01	2.791392124089232141e+01	1.200000000000000000e+01
9.972615803657356448e-01	2.779674945782968010e+01	1.200000000000000000e+01
9.976286262943383498e-01	2.765341290703568689e+01	1.100000000000000000e+01
9.979464749735428297e-01	2.748550435768173372e+01	1.000000000000000000e+01
9.982217205899610590e-01	2.729475015849351394e+01	1.000000000000000000e+01
9.984600734739405015e-01	2.708254294345862689e+01	9.000000000000000000e+00
9.986664785678366352e-01	2.685029401706248819e+01	9.000000000000000000e+00
9.988452180153105653e-01	2.659907304644491788e+01	8.000000000000000000e+00
9.989999999999999991e-01	2.632973714454492153e+01	8.000000000000000000e+00
9.991340356766399422e-01	2.604260555258291987e+01	7.000000000000000000e+00
9.992501057906675310e-01	2.573763645739176553e+01	7.000000000000000000e+00
9.993506183684237598e-01	2.541432572563769199e+01	6.000000000000000000e+00
9.994376586748096036e-01	2.507161707958873720e+01	6.000000000000000000e+00
9.995130324748341399e-01	2.470804117720948057e+01	6.000000000000000000e+00
9.995783034965713965e-01	2.432148791238372354e+01	5.000000000000000000e+00
9.996348258727452141e-01	2.390918122976154692e+01	5.000000000000000000e+00
9.996837722339831922e-01	2.346781655920572973e+01	4.000000000000000000e+00
9.997261580365736089e-01	2.299350126475590628e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.248146860708918027e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.192603342649378817e+01	4.000000000000000000e+00
9.998221720589961503e-01	2.132062840613044585e+01	3.000000000000000000e+00
9.998460073473940390e-01	2.065742637430592765e+01	3.000000000000000000e+00
9.998666478567836968e-01	1.992703942940969952e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.911809128880071995e+01	3.000000000000000000e+00
9.999000000000000110e-01	1.821660546438588568e+01	2.000000000000000000e+00
