#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.165977757426468919e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.250666726380682725e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.334274526686466800e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.415505681185895170e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.493918273591473600e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.569524589928011338e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.642473550504032431e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.712705055262817666e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.779929274697179409e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.843994470299296040e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.905182966950666668e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.964144149802297790e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.021548809479887865e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.077844245371453979e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.133184175007242800e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.187465433944643323e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.240447542617056342e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.291856503996709904e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.341476133537193860e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.389162371416379926e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.434868436576211792e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.478621214534180694e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.520494345236715361e+01	3.100000000000000000e+01
9.634825872745161890e-01	2.560579626282083154e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.598963035159628987e+01	3.200000000000000000e+01
9.726158036573563370e-01	2.635713740816238015e+01	3.300000000000000000e+01
9.762862629433834982e-01	2.670851595340626261e+01	3.300000000000000000e+01
9.794647497354285193e-01	2.704368322328848961e+01	3.300000000000000000e+01
9.822172058996108124e-01	2.736215933076856288e+01	3.300000000000000000e+01
9.846007347394051257e-01	2.766291889609193078e+01	3.300000000000000000e+01
9.866647856783667958e-01	2.794465477564349243e+01	3.200000000000000000e+01
9.884521801531054308e-01	2.820586020376062919e+01	3.200000000000000000e+01
9.899999999999999911e-01	2.844473122017697975e+01	3.100000000000000000e+01
9.913403567663993110e-01	2.865940006292356657e+01	3.000000000000000000e+01
9.925010579066754213e-01	2.884813150574618135e+01	2.900000000000000000e+01
9.935061836842379313e-01	2.900911745894653038e+01	2.800000000000000000e+01
9.943765867480964804e-01	2.914086209287210494e+01	2.600000000000000000e+01
9.951303247483413994e-01	2.924211209303104653e+01	2.500000000000000000e+01
9.957830349657141866e-01	2.931207584970221802e+01	2.400000000000000000e+01
9.963482587274515856e-01	2.935006747647387471e+01	2.200000000000000000e+01
9.968377223398315889e-01	2.935588115741609627e+01	2.100000000000000000e+01
9.972615803657356448e-01	2.932963818515103682e+01	2.000000000000000000e+01
9.976286262943383498e-01	2.927158237757680581e+01	1.800000000000000000e+01
9.979464749735428297e-01	2.918226941169429622e+01	1.700000000000000000e+01
9.982217205899610590e-01	2.906238078150177273e+01	1.600000000000000000e+01
9.984600734739405015e-01	2.891286514764352589e+01	1.500000000000000000e+01
9.986664785678366352e-01	2.873446600141481611e+01	1.400000000000000000e+01
9.988452180153105653e-01	2.852812564414107044e+01	1.300000000000000000e+01
9.989999999999999991e-01	2.829475359296876036e+01	1.200000000000000000e+01
9.991340356766399422e-01	2.803527310430401798e+01	1.100000000000000000e+01
9.992501057906675310e-01	2.775043150852677698e+01	1.000000000000000000e+01
9.993506183684237598e-01	2.744085579396852026e+01	9.000000000000000000e+00
9.994376586748096036e-01	2.710724385228798994e+01	9.000000000000000000e+00
9.995130324748341399e-01	2.674974635256051059e+01	8.000000000000000000e+00
9.995783034965713965e-01	2.636863436862838483e+01	7.000000000000000000e+00
9.996348258727452141e-01	2.596371765950510735e+01	7.000000000000000000e+00
9.996837722339831922e-01	2.553455414788449218e+01	6.000000000000000000e+00
9.997261580365736089e-01	2.508012323501828433e+01	6.000000000000000000e+00
9.997628626294338128e-01	2.459902093178638438e+01	5.000000000000000000e+00
9.997946474973542497e-01	2.408913130924069179e+01	5.000000000000000000e+00
9.998221720589961503e-01	2.354739191546879695e+01	5.000000000000000000e+00
9.998460073473940390e-01	2.296994766505369157e+01	4.000000000000000000e+00
9.998666478567836968e-01	2.235143452521541008e+01	4.000000000000000000e+00
9.998845218015310898e-01	2.168502871421813083e+01	3.000000000000000000e+00
9.999000000000000110e-01	2.096188407516044805e+01	3.000000000000000000e+00
