#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.162144523113420291e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.237747799600502674e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.313229355956878308e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.387845952066876443e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.460666511209284479e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.531051147722594763e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.598880516356316761e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.664466200391105843e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.728317150832730675e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.790899349392260476e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.852513359873037757e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.913270516340993410e+01	2.000000000000000000e+01
8.221720589961076797e-01	1.973114328444039955e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.031891411164870931e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.089425501441329658e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.145582339693581986e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.200281037978222543e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.253500000607209230e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.305262382664904663e+01	2.900000000000000000e+01
9.350618368423788684e-01	2.355597679976923331e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.404538155336967975e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.452086961266586940e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.498228785379144767e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.542915749617457521e+01	3.300000000000000000e+01
9.683772233983162225e-01	2.586069388733146468e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.627606923055605748e+01	3.400000000000000000e+01
9.762862629433834982e-01	2.667418906886855012e+01	3.400000000000000000e+01
9.794647497354285193e-01	2.705398890214489427e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.741450658903236004e+01	3.500000000000000000e+01
9.846007347394051257e-01	2.775480144560728490e+01	3.500000000000000000e+01
9.866647856783667958e-01	2.807408564629099601e+01	3.500000000000000000e+01
9.884521801531054308e-01	2.837172890281941662e+01	3.500000000000000000e+01
9.899999999999999911e-01	2.864735597599192118e+01	3.600000000000000000e+01
9.913403567663993110e-01	2.890065671344970610e+01	3.600000000000000000e+01
9.925010579066754213e-01	2.913161212768343589e+01	3.600000000000000000e+01
9.935061836842379313e-01	2.934017786081662749e+01	3.600000000000000000e+01
9.943765867480964804e-01	2.952650720609534574e+01	3.500000000000000000e+01
9.951303247483413994e-01	2.969082621396700716e+01	3.500000000000000000e+01
9.957830349657141866e-01	2.983332110599714326e+01	3.500000000000000000e+01
9.963482587274515856e-01	2.995409193303562034e+01	3.400000000000000000e+01
9.968377223398315889e-01	3.005322195350639802e+01	3.300000000000000000e+01
9.972615803657356448e-01	3.013069345421735434e+01	3.300000000000000000e+01
9.976286262943383498e-01	3.018628829034381766e+01	3.200000000000000000e+01
9.979464749735428297e-01	3.021977840882282607e+01	3.100000000000000000e+01
9.982217205899610590e-01	3.023073197458043637e+01	2.900000000000000000e+01
9.984600734739405015e-01	3.021881327821441232e+01	2.800000000000000000e+01
9.986664785678366352e-01	3.018352332079362554e+01	2.700000000000000000e+01
9.988452180153105653e-01	3.012466064866623583e+01	2.500000000000000000e+01
9.989999999999999991e-01	3.004179466651493158e+01	2.400000000000000000e+01
9.991340356766399422e-01	2.993491400392337454e+01	2.200000000000000000e+01
9.992501057906675310e-01	2.980389203508982732e+01	2.100000000000000000e+01
9.993506183684237598e-01	2.964881089360975608e+01	1.900000000000000000e+01
9.994376586748096036e-01	2.946987853147964387e+01	1.800000000000000000e+01
9.995130324748341399e-01	2.926715181694663670e+01	1.600000000000000000e+01
9.995783034965713965e-01	2.904076368589695178e+01	1.500000000000000000e+01
9.996348258727452141e-01	2.879099974136457973e+01	1.400000000000000000e+01
9.996837722339831922e-01	2.851764295404591820e+01	1.300000000000000000e+01
9.997261580365736089e-01	2.822075539043980896e+01	1.200000000000000000e+01
9.997628626294338128e-01	2.789970619017065800e+01	1.100000000000000000e+01
9.997946474973542497e-01	2.755400969172315229e+01	1.000000000000000000e+01
9.998221720589961503e-01	2.718267451613501606e+01	9.000000000000000000e+00
9.998460073473940390e-01	2.678450214840642829e+01	8.000000000000000000e+00
9.998666478567836968e-01	2.635805230615714478e+01	7.000000000000000000e+00
9.998845218015310898e-01	2.590151445860379198e+01	7.000000000000000000e+00
9.999000000000000110e-01	2.541337600324752799e+01	6.000000000000000000e+00
