#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.164914447811767673e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.247881222512640775e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.328405994927738831e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.407584119591338734e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.484358999873447971e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.558096703139254480e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.628860907631084132e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.697041725738300499e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.763054633505796076e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.827236356205909829e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.889800632376428524e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.950878428313414048e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.010533390574333623e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.068783948201378919e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.125624702335948157e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.181028421004018369e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.234960732035649045e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.287370749797037561e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.338205332359864030e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.387407261363492239e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.434922397659261861e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.480703176144231037e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.524708163294406660e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.566915805987463273e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.607307624709725502e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.645867429157389239e+01	3.300000000000000000e+01
9.762862629433834982e-01	2.682578684175881634e+01	3.300000000000000000e+01
9.794647497354285193e-01	2.717419291695901507e+01	3.300000000000000000e+01
9.822172058996108124e-01	2.750356621034230642e+01	3.300000000000000000e+01
9.846007347394051257e-01	2.781346396615918337e+01	3.300000000000000000e+01
9.866647856783667958e-01	2.810317435449628221e+01	3.300000000000000000e+01
9.884521801531054308e-01	2.837168520349617040e+01	3.300000000000000000e+01
9.899999999999999911e-01	2.861787652712695973e+01	3.200000000000000000e+01
9.913403567663993110e-01	2.884032292475630044e+01	3.100000000000000000e+01
9.925010579066754213e-01	2.903748864757736214e+01	3.100000000000000000e+01
9.935061836842379313e-01	2.920739462516115026e+01	3.000000000000000000e+01
9.943765867480964804e-01	2.934823217491534564e+01	2.800000000000000000e+01
9.951303247483413994e-01	2.945809187590969103e+01	2.700000000000000000e+01
9.957830349657141866e-01	2.953514604757749851e+01	2.600000000000000000e+01
9.963482587274515856e-01	2.957797290661940792e+01	2.400000000000000000e+01
9.968377223398315889e-01	2.958531853496243613e+01	2.300000000000000000e+01
9.972615803657356448e-01	2.955665699562343818e+01	2.100000000000000000e+01
9.976286262943383498e-01	2.949186540908612386e+01	2.000000000000000000e+01
9.979464749735428297e-01	2.939160653778666088e+01	1.900000000000000000e+01
9.982217205899610590e-01	2.925692528146514348e+01	1.700000000000000000e+01
9.984600734739405015e-01	2.908962152212202312e+01	1.600000000000000000e+01
9.986664785678366352e-01	2.889181555076552499e+01	1.500000000000000000e+01
9.988452180153105653e-01	2.866601897092019868e+01	1.400000000000000000e+01
9.989999999999999991e-01	2.841488414665351314e+01	1.300000000000000000e+01
9.991340356766399422e-01	2.814109236927030366e+01	1.200000000000000000e+01
9.992501057906675310e-01	2.784724148017270196e+01	1.100000000000000000e+01
9.993506183684237598e-01	2.753544540720034917e+01	1.000000000000000000e+01
9.994376586748096036e-01	2.720744828603034904e+01	1.000000000000000000e+01
9.995130324748341399e-01	2.686454201297881639e+01	9.000000000000000000e+00
9.995783034965713965e-01	2.650707995171968889e+01	8.000000000000000000e+00
9.996348258727452141e-01	2.613495203885049989e+01	8.000000000000000000e+00
9.996837722339831922e-01	2.574709064798576463e+01	7.000000000000000000e+00
9.997261580365736089e-01	2.534148709700183844e+01	6.000000000000000000e+00
9.997628626294338128e-01	2.491553314045964385e+01	6.000000000000000000e+00
9.997946474973542497e-01	2.446554866172997222e+01	5.000000000000000000e+00
9.998221720589961503e-01	2.398686421220339682e+01	5.000000000000000000e+00
9.998460073473940390e-01	2.347390256259415509e+01	5.000000000000000000e+00
9.998666478567836968e-01	2.291984918596070742e+01	4.000000000000000000e+00
9.998845218015310898e-01	2.231635543824832624e+01	4.000000000000000000e+00
9.999000000000000110e-01	2.165298817862110070e+01	3.000000000000000000e+00
