#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.193261560050372694e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.269380975518809862e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.346649195992996972e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.425075214357354625e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.503485020252286475e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.580680664629988996e+01	1.100000000000000000e+01
5.783034965714177744e-01	1.656015010546097699e+01	1.200000000000000000e+01
6.348258727451623340e-01	1.728892693307809836e+01	1.300000000000000000e+01
6.837722339831620033e-01	1.798587350163788301e+01	1.500000000000000000e+01
7.261580365735638143e-01	1.864828435699909903e+01	1.600000000000000000e+01
7.628626294338345382e-01	1.927944188934215219e+01	1.700000000000000000e+01
7.946474973542854148e-01	1.988445239148086330e+01	1.800000000000000000e+01
8.221720589961076797e-01	2.046653112416202092e+01	1.900000000000000000e+01
8.460073473940508126e-01	2.102652670797853673e+01	2.000000000000000000e+01
8.666478567836676250e-01	2.156388263198681443e+01	2.100000000000000000e+01
8.845218015310541970e-01	2.207797066293773725e+01	2.200000000000000000e+01
9.000000000000000222e-01	2.256874409539738835e+01	2.200000000000000000e+01
9.134035676639934431e-01	2.303678524653898307e+01	2.200000000000000000e+01
9.250105790667544348e-01	2.348320492554062611e+01	2.200000000000000000e+01
9.350618368423788684e-01	2.390936512063396080e+01	2.200000000000000000e+01
9.437658674809651371e-01	2.431646371774229820e+01	2.200000000000000000e+01
9.513032474834136609e-01	2.470557190279154725e+01	2.200000000000000000e+01
9.578303496571417552e-01	2.507715869323406110e+01	2.200000000000000000e+01
9.634825872745161890e-01	2.543139406223725985e+01	2.200000000000000000e+01
9.683772233983162225e-01	2.576788612389897537e+01	2.100000000000000000e+01
9.726158036573563370e-01	2.608591524490263325e+01	2.100000000000000000e+01
9.762862629433834982e-01	2.638445810109131173e+01	2.100000000000000000e+01
9.794647497354285193e-01	2.666231011335269585e+01	2.000000000000000000e+01
9.822172058996108124e-01	2.691813257362652223e+01	2.000000000000000000e+01
9.846007347394051257e-01	2.715061866433846305e+01	1.900000000000000000e+01
9.866647856783667958e-01	2.735850361164996158e+01	1.900000000000000000e+01
9.884521801531054308e-01	2.754066488683581326e+01	1.800000000000000000e+01
9.899999999999999911e-01	2.769622917569373044e+01	1.700000000000000000e+01
9.913403567663993110e-01	2.782447909735944336e+01	1.700000000000000000e+01
9.925010579066754213e-01	2.792490454346149420e+01	1.600000000000000000e+01
9.935061836842379313e-01	2.799731978872279115e+01	1.500000000000000000e+01
9.943765867480964804e-01	2.804164440764194666e+01	1.500000000000000000e+01
9.951303247483413994e-01	2.805821152937163632e+01	1.400000000000000000e+01
9.957830349657141866e-01	2.804739287275528170e+01	1.300000000000000000e+01
9.963482587274515856e-01	2.800982555769952853e+01	1.300000000000000000e+01
9.968377223398315889e-01	2.794634995287156443e+01	1.200000000000000000e+01
9.972615803657356448e-01	2.785773680778891759e+01	1.100000000000000000e+01
9.976286262943383498e-01	2.774493416620517650e+01	1.100000000000000000e+01
9.979464749735428297e-01	2.760881786785242653e+01	1.000000000000000000e+01
9.982217205899610590e-01	2.745011557947661629e+01	1.000000000000000000e+01
9.984600734739405015e-01	2.726922153607951671e+01	9.000000000000000000e+00
9.986664785678366352e-01	2.706627191326718673e+01	9.000000000000000000e+00
9.988452180153105653e-01	2.684108586248485295e+01	8.000000000000000000e+00
9.989999999999999991e-01	2.659278692150787293e+01	8.000000000000000000e+00
9.991340356766399422e-01	2.632040232410360403e+01	7.000000000000000000e+00
9.992501057906675310e-01	2.602217405383769488e+01	7.000000000000000000e+00
9.993506183684237598e-01	2.569623513073999987e+01	6.000000000000000000e+00
9.994376586748096036e-01	2.534055525092530203e+01	6.000000000000000000e+00
9.995130324748341399e-01	2.495333699674095129e+01	6.000000000000000000e+00
9.995783034965713965e-01	2.453293994440469916e+01	5.000000000000000000e+00
9.996348258727452141e-01	2.407874143132433531e+01	5.000000000000000000e+00
9.996837722339831922e-01	2.359099518509648163e+01	5.000000000000000000e+00
9.997261580365736089e-01	2.307142558926003773e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.252314034426114020e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.195056556168722040e+01	4.000000000000000000e+00
9.998221720589961503e-01	2.135917034246350354e+01	3.000000000000000000e+00
9.998460073473940390e-01	2.075486136869243836e+01	3.000000000000000000e+00
9.998666478567836968e-01	2.014345137999863056e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.953036066738283338e+01	3.000000000000000000e+00
9.999000000000000110e-01	1.892016359650616764e+01	3.000000000000000000e+00
