#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.198793303223394702e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.278266038742590816e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.357711542396228666e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.436935264617289576e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.515126455579265752e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.591878917060209631e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.667318074033182995e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.741333479070577894e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.813257032991172224e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.882299011563730318e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.948023134825855962e+01	1.800000000000000000e+01
7.946474973542854148e-01	2.010370315985772649e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.069505719461583126e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.125659232972624935e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.179101259474528263e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.230101584446673613e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.278940268753176213e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.325873735379023799e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.371151923704679376e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.414976666162428032e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.457506232498935717e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.498844289420310005e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.539049288252432390e+01	3.100000000000000000e+01
9.634825872745161890e-01	2.578124250549744900e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.616034188934694527e+01	3.200000000000000000e+01
9.726158036573563370e-01	2.652696707872616599e+01	3.200000000000000000e+01
9.762862629433834982e-01	2.687992808053593308e+01	3.200000000000000000e+01
9.794647497354285193e-01	2.721784117597601949e+01	3.200000000000000000e+01
9.822172058996108124e-01	2.753890336571963715e+01	3.200000000000000000e+01
9.846007347394051257e-01	2.784116890941398026e+01	3.100000000000000000e+01
9.866647856783667958e-01	2.812264229386145331e+01	3.100000000000000000e+01
9.884521801531054308e-01	2.838100610179566630e+01	3.000000000000000000e+01
9.899999999999999911e-01	2.861420465730378737e+01	2.900000000000000000e+01
9.913403567663993110e-01	2.881998577689044438e+01	2.800000000000000000e+01
9.925010579066754213e-01	2.899639954292813115e+01	2.700000000000000000e+01
9.935061836842379313e-01	2.914153402161023010e+01	2.600000000000000000e+01
9.943765867480964804e-01	2.925390793291668601e+01	2.400000000000000000e+01
9.951303247483413994e-01	2.933242374552495235e+01	2.300000000000000000e+01
9.957830349657141866e-01	2.937616763046114698e+01	2.200000000000000000e+01
9.963482587274515856e-01	2.938492237085864645e+01	2.000000000000000000e+01
9.968377223398315889e-01	2.935863663277114455e+01	1.900000000000000000e+01
9.972615803657356448e-01	2.929772908481805160e+01	1.800000000000000000e+01
9.976286262943383498e-01	2.920285164704437619e+01	1.700000000000000000e+01
9.979464749735428297e-01	2.907489604598804078e+01	1.600000000000000000e+01
9.982217205899610590e-01	2.891492337038663507e+01	1.500000000000000000e+01
9.984600734739405015e-01	2.872413940221406392e+01	1.400000000000000000e+01
9.986664785678366352e-01	2.850355997503001859e+01	1.300000000000000000e+01
9.988452180153105653e-01	2.825439216775833984e+01	1.200000000000000000e+01
9.989999999999999991e-01	2.797793543140398853e+01	1.100000000000000000e+01
9.991340356766399422e-01	2.767535260997916780e+01	1.000000000000000000e+01
9.992501057906675310e-01	2.734813063707867542e+01	1.000000000000000000e+01
9.993506183684237598e-01	2.699777170872794585e+01	9.000000000000000000e+00
9.994376586748096036e-01	2.662581978664298532e+01	8.000000000000000000e+00
9.995130324748341399e-01	2.623391644254553512e+01	8.000000000000000000e+00
9.995783034965713965e-01	2.582351820784874974e+01	7.000000000000000000e+00
9.996348258727452141e-01	2.539606233283698344e+01	6.000000000000000000e+00
9.996837722339831922e-01	2.495285538812880333e+01	6.000000000000000000e+00
9.997261580365736089e-01	2.449541251590126834e+01	5.000000000000000000e+00
9.997628626294338128e-01	2.402551955300810960e+01	5.000000000000000000e+00
9.997946474973542497e-01	2.354589732705898797e+01	5.000000000000000000e+00
9.998221720589961503e-01	2.306015796978523724e+01	4.000000000000000000e+00
9.998460073473940390e-01	2.257254785196778002e+01	4.000000000000000000e+00
9.998666478567836968e-01	2.208785788171632447e+01	4.000000000000000000e+00
9.998845218015310898e-01	2.161023219696673436e+01	3.000000000000000000e+00
9.999000000000000110e-01	2.114303783561219774e+01	3.000000000000000000e+00
