#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.164659861473056068e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.239476326853360888e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.314477462325037038e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.388931807129160845e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.461827095590373382e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.532411221423956071e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.600467501202519571e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.666247608128436042e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.730251437044231722e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.792962005360769950e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.854690516383572430e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.915547797466160063e+01	2.000000000000000000e+01
8.221720589961076797e-01	1.975466085579612141e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.034262547285524647e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.091748918427238380e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.147767507445622215e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.202233626519016951e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.255140530834177426e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.306520764189622597e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.356427824558998552e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.404917176971958526e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.452004331523222902e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.497691366444873040e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.541937856155541908e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.584675607666902764e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.625822127357567481e+01	3.400000000000000000e+01
9.762862629433834982e-01	2.665271214660737797e+01	3.400000000000000000e+01
9.794647497354285193e-01	2.702912747041683872e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.738647866103204009e+01	3.500000000000000000e+01
9.846007347394051257e-01	2.772378022966553601e+01	3.500000000000000000e+01
9.866647856783667958e-01	2.804016043391009561e+01	3.500000000000000000e+01
9.884521801531054308e-01	2.833492787378318312e+01	3.500000000000000000e+01
9.899999999999999911e-01	2.860756704334640332e+01	3.500000000000000000e+01
9.913403567663993110e-01	2.885765632536638492e+01	3.500000000000000000e+01
9.925010579066754213e-01	2.908497659319413842e+01	3.500000000000000000e+01
9.935061836842379313e-01	2.928926819924532765e+01	3.500000000000000000e+01
9.943765867480964804e-01	2.947048681091720113e+01	3.500000000000000000e+01
9.951303247483413994e-01	2.962850576310830064e+01	3.400000000000000000e+01
9.957830349657141866e-01	2.976305843564825437e+01	3.400000000000000000e+01
9.963482587274515856e-01	2.987410368714996878e+01	3.300000000000000000e+01
9.968377223398315889e-01	2.996115034985153613e+01	3.200000000000000000e+01
9.972615803657356448e-01	3.002394071807489695e+01	3.100000000000000000e+01
9.976286262943383498e-01	3.006198050197501459e+01	3.000000000000000000e+01
9.979464749735428297e-01	3.007486432727613845e+01	2.800000000000000000e+01
9.982217205899610590e-01	3.006217046616039568e+01	2.700000000000000000e+01
9.984600734739405015e-01	3.002355567750626619e+01	2.600000000000000000e+01
9.986664785678366352e-01	2.995890087481156883e+01	2.400000000000000000e+01
9.988452180153105653e-01	2.986813769468510316e+01	2.300000000000000000e+01
9.989999999999999991e-01	2.975146112462076076e+01	2.100000000000000000e+01
9.991340356766399422e-01	2.960929941139539068e+01	2.000000000000000000e+01
9.992501057906675310e-01	2.944199307476164407e+01	1.800000000000000000e+01
9.993506183684237598e-01	2.925014392141399355e+01	1.700000000000000000e+01
9.994376586748096036e-01	2.903440157613516703e+01	1.600000000000000000e+01
9.995130324748341399e-01	2.879529190166837793e+01	1.400000000000000000e+01
9.995783034965713965e-01	2.853331617620073146e+01	1.300000000000000000e+01
9.996348258727452141e-01	2.824892137705215589e+01	1.200000000000000000e+01
9.996837722339831922e-01	2.794234244607994810e+01	1.100000000000000000e+01
9.997261580365736089e-01	2.761352390358847586e+01	1.000000000000000000e+01
9.997628626294338128e-01	2.726219855923123347e+01	9.000000000000000000e+00
9.997946474973542497e-01	2.688781539862119274e+01	9.000000000000000000e+00
9.998221720589961503e-01	2.648952402119362759e+01	8.000000000000000000e+00
9.998460073473940390e-01	2.606618618420412048e+01	7.000000000000000000e+00
9.998666478567836968e-01	2.561641438378875080e+01	7.000000000000000000e+00
9.998845218015310898e-01	2.513882936553343228e+01	6.000000000000000000e+00
9.999000000000000110e-01	2.463205893223604903e+01	5.000000000000000000e+00
