#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.165501009668638233e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.249667126684425078e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.332164626565630172e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.412705104794633293e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.491066019980325130e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.567048769444863510e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.640453072275687418e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.710976021363947908e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.778362175462783057e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.842633320027058730e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.904209459214822076e+01	1.800000000000000000e+01
7.946474973542854148e-01	1.963712619613962573e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.021724740039353918e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.078563483455144478e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.134287889149027251e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.188740613904043641e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.241670601973438792e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.292836598124002023e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.342057470658058094e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.389225511294069904e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.434333702393598742e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.477416109239210584e+01	3.000000000000000000e+01
9.578303496571417552e-01	2.518551124484034176e+01	3.100000000000000000e+01
9.634825872745161890e-01	2.557819810548501849e+01	3.100000000000000000e+01
9.683772233983162225e-01	2.595290453023637411e+01	3.100000000000000000e+01
9.726158036573563370e-01	2.631009165527311211e+01	3.200000000000000000e+01
9.762862629433834982e-01	2.664951604162533272e+01	3.100000000000000000e+01
9.794647497354285193e-01	2.697072460490831958e+01	3.100000000000000000e+01
9.822172058996108124e-01	2.727285367553115236e+01	3.100000000000000000e+01
9.846007347394051257e-01	2.755450690840551076e+01	3.000000000000000000e+01
9.866647856783667958e-01	2.781419479574813280e+01	2.900000000000000000e+01
9.884521801531054308e-01	2.805025664716412592e+01	2.800000000000000000e+01
9.899999999999999911e-01	2.826108453818761035e+01	2.700000000000000000e+01
9.913403567663993110e-01	2.844514223202599723e+01	2.600000000000000000e+01
9.925010579066754213e-01	2.860106559668250270e+01	2.500000000000000000e+01
9.935061836842379313e-01	2.872771976386084702e+01	2.400000000000000000e+01
9.943765867480964804e-01	2.882453097600162550e+01	2.200000000000000000e+01
9.951303247483413994e-01	2.889095141323864269e+01	2.100000000000000000e+01
9.957830349657141866e-01	2.892683858177341705e+01	2.000000000000000000e+01
9.963482587274515856e-01	2.893239071063140599e+01	1.900000000000000000e+01
9.968377223398315889e-01	2.890792065966255819e+01	1.700000000000000000e+01
9.972615803657356448e-01	2.885389008574928482e+01	1.600000000000000000e+01
9.976286262943383498e-01	2.877098330219820355e+01	1.500000000000000000e+01
9.979464749735428297e-01	2.865980379677287360e+01	1.400000000000000000e+01
9.982217205899610590e-01	2.852118596678489837e+01	1.300000000000000000e+01
9.984600734739405015e-01	2.835573144943392876e+01	1.200000000000000000e+01
9.986664785678366352e-01	2.816422172784106692e+01	1.100000000000000000e+01
9.988452180153105653e-01	2.794716215307566287e+01	1.100000000000000000e+01
9.989999999999999991e-01	2.770504041687186714e+01	1.000000000000000000e+01
9.991340356766399422e-01	2.743816048960628251e+01	9.000000000000000000e+00
9.992501057906675310e-01	2.714671105826547404e+01	9.000000000000000000e+00
9.993506183684237598e-01	2.683051229163132234e+01	8.000000000000000000e+00
9.994376586748096036e-01	2.648941346159354282e+01	7.000000000000000000e+00
9.995130324748341399e-01	2.612289905540213653e+01	7.000000000000000000e+00
9.995783034965713965e-01	2.573000010770231327e+01	6.000000000000000000e+00
9.996348258727452141e-01	2.530954353360781894e+01	6.000000000000000000e+00
9.996837722339831922e-01	2.486002444936908518e+01	5.000000000000000000e+00
9.997261580365736089e-01	2.437938002764596490e+01	5.000000000000000000e+00
9.997628626294338128e-01	2.386498829131691224e+01	5.000000000000000000e+00
9.997946474973542497e-01	2.331360939357671924e+01	4.000000000000000000e+00
9.998221720589961503e-01	2.272128140754796988e+01	4.000000000000000000e+00
9.998460073473940390e-01	2.208287697491489254e+01	4.000000000000000000e+00
9.998666478567836968e-01	2.139221985373033874e+01	3.000000000000000000e+00
9.998845218015310898e-01	2.064128328226794196e+01	3.000000000000000000e+00
9.999000000000000110e-01	1.981997857169955779e+01	3.000000000000000000e+00
