#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.601161312311035090e+01	1.400000000000000000e+01
1.340356766399346533e-01	1.670784501351648998e+01	1.600000000000000000e+01
2.501057906675441256e-01	1.744274521253294807e+01	1.800000000000000000e+01
3.506183684237886844e-01	1.821223115554415628e+01	2.000000000000000000e+01
4.376586748096509272e-01	1.899166179829015277e+01	2.300000000000000000e+01
5.130324748341368313e-01	1.976086085675052573e+01	2.500000000000000000e+01
5.783034965714177744e-01	2.051004385555077647e+01	2.800000000000000000e+01
6.348258727451623340e-01	2.123692838468608457e+01	3.000000000000000000e+01
6.837722339831620033e-01	2.194286083822976252e+01	3.300000000000000000e+01
7.261580365735638143e-01	2.262975615462915613e+01	3.600000000000000000e+01
7.628626294338345382e-01	2.329902215832875356e+01	3.800000000000000000e+01
7.946474973542854148e-01	2.395149433015015461e+01	4.100000000000000000e+01
8.221720589961076797e-01	2.458701719529282315e+01	4.400000000000000000e+01
8.460073473940508126e-01	2.520460367633163656e+01	4.700000000000000000e+01
8.666478567836676250e-01	2.580294363668873103e+01	4.900000000000000000e+01
8.845218015310541970e-01	2.638032946252869948e+01	5.100000000000000000e+01
9.000000000000000222e-01	2.693544408961377812e+01	5.400000000000000000e+01
9.134035676639934431e-01	2.746768142103929478e+01	5.600000000000000000e+01
9.250105790667544348e-01	2.797745641715039966e+01	5.700000000000000000e+01
9.350618368423788684e-01	2.846589881311465575e+01	5.900000000000000000e+01
9.437658674809651371e-01	2.893513028876912330e+01	6.000000000000000000e+01
9.513032474834136609e-01	2.938724918753640480e+01	6.100000000000000000e+01
9.578303496571417552e-01	2.982421631850776933e+01	6.200000000000000000e+01
9.634825872745161890e-01	3.024750727206504308e+01	6.200000000000000000e+01
9.683772233983162225e-01	3.065800177680790028e+01	6.200000000000000000e+01
9.726158036573563370e-01	3.105592877822837039e+01	6.200000000000000000e+01
9.762862629433834982e-01	3.144033150399462784e+01	6.100000000000000000e+01
9.794647497354285193e-01	3.180993577750518497e+01	6.000000000000000000e+01
9.822172058996108124e-01	3.216307995465284364e+01	5.900000000000000000e+01
9.846007347394051257e-01	3.249719539720367578e+01	5.700000000000000000e+01
9.866647856783667958e-01	3.280920045208709013e+01	5.500000000000000000e+01
9.884521801531054308e-01	3.309645553809663454e+01	5.300000000000000000e+01
9.899999999999999911e-01	3.335559973816869928e+01	5.000000000000000000e+01
9.913403567663993110e-01	3.358393771911484293e+01	4.700000000000000000e+01
9.925010579066754213e-01	3.377868486095159284e+01	4.500000000000000000e+01
9.935061836842379313e-01	3.393764237483797075e+01	4.200000000000000000e+01
9.943765867480964804e-01	3.405949454912821039e+01	3.900000000000000000e+01
9.951303247483413994e-01	3.414339656458135863e+01	3.600000000000000000e+01
9.957830349657141866e-01	3.418897892992782772e+01	3.400000000000000000e+01
9.963482587274515856e-01	3.419701042483509212e+01	3.100000000000000000e+01
9.968377223398315889e-01	3.416836757146320736e+01	2.900000000000000000e+01
9.972615803657356448e-01	3.410447335053267182e+01	2.700000000000000000e+01
9.976286262943383498e-01	3.400649562334744047e+01	2.500000000000000000e+01
9.979464749735428297e-01	3.387652864856245571e+01	2.300000000000000000e+01
9.982217205899610590e-01	3.371595687827663568e+01	2.100000000000000000e+01
9.984600734739405015e-01	3.352684480826398783e+01	2.000000000000000000e+01
9.986664785678366352e-01	3.331029065865034511e+01	1.800000000000000000e+01
9.988452180153105653e-01	3.306780790259819014e+01	1.700000000000000000e+01
9.989999999999999991e-01	3.280063287306768416e+01	1.600000000000000000e+01
9.991340356766399422e-01	3.251033223921378124e+01	1.400000000000000000e+01
9.992501057906675310e-01	3.219751278583459708e+01	1.300000000000000000e+01
9.993506183684237598e-01	3.186324847684081973e+01	1.200000000000000000e+01
9.994376586748096036e-01	3.150835387091436601e+01	1.100000000000000000e+01
9.995130324748341399e-01	3.113377377733240792e+01	1.000000000000000000e+01
9.995783034965713965e-01	3.074061011309654390e+01	1.000000000000000000e+01
9.996348258727452141e-01	3.032901497742486185e+01	9.000000000000000000e+00
9.996837722339831922e-01	2.989973932731639650e+01	8.000000000000000000e+00
9.997261580365736089e-01	2.945295172345991475e+01	8.000000000000000000e+00
9.997628626294338128e-01	2.898909662871398396e+01	7.000000000000000000e+00
9.997946474973542497e-01	2.850778156261507235e+01	6.000000000000000000e+00
9.998221720589961503e-01	2.800862482843396606e+01	6.000000000000000000e+00
9.998460073473940390e-01	2.749033329982028206e+01	5.000000000000000000e+00
9.998666478567836968e-01	2.695143416539213632e+01	5.000000000000000000e+00
9.998845218015310898e-01	2.638955199676258800e+01	5.000000000000000000e+00
9.999000000000000110e-01	2.580166964764286774e+01	4.000000000000000000e+00
