#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.601053271437039882e+01	1.400000000000000000e+01
1.340356766399346533e-01	1.668017616495163935e+01	1.600000000000000000e+01
2.501057906675441256e-01	1.741371857008121538e+01	1.800000000000000000e+01
3.506183684237886844e-01	1.819488318648543412e+01	2.000000000000000000e+01
4.376586748096509272e-01	1.898828884579131326e+01	2.200000000000000000e+01
5.130324748341368313e-01	1.976859280857376433e+01	2.500000000000000000e+01
5.783034965714177744e-01	2.052466800429856875e+01	2.700000000000000000e+01
6.348258727451623340e-01	2.125512117514730903e+01	3.000000000000000000e+01
6.837722339831620033e-01	2.196262104441978025e+01	3.300000000000000000e+01
7.261580365735638143e-01	2.265056985418994273e+01	3.600000000000000000e+01
7.628626294338345382e-01	2.332116008710316635e+01	3.800000000000000000e+01
7.946474973542854148e-01	2.397513191181451120e+01	4.100000000000000000e+01
8.221720589961076797e-01	2.461215411353805393e+01	4.400000000000000000e+01
8.460073473940508126e-01	2.523041727490330643e+01	4.600000000000000000e+01
8.666478567836676250e-01	2.582820420627301772e+01	4.900000000000000000e+01
8.845218015310541970e-01	2.640327674743016928e+01	5.100000000000000000e+01
9.000000000000000222e-01	2.695437412051573389e+01	5.300000000000000000e+01
9.134035676639934431e-01	2.748083542510808996e+01	5.400000000000000000e+01
9.250105790667544348e-01	2.798356621140370493e+01	5.600000000000000000e+01
9.350618368423788684e-01	2.846401704276622624e+01	5.700000000000000000e+01
9.437658674809651371e-01	2.892431844496808324e+01	5.800000000000000000e+01
9.513032474834136609e-01	2.936665286676140241e+01	5.800000000000000000e+01
9.578303496571417552e-01	2.979288510033752502e+01	5.800000000000000000e+01
9.634825872745161890e-01	3.020418294902966494e+01	5.800000000000000000e+01
9.683772233983162225e-01	3.060092282299838118e+01	5.700000000000000000e+01
9.726158036573563370e-01	3.098303823818699598e+01	5.600000000000000000e+01
9.762862629433834982e-01	3.134899454480701309e+01	5.400000000000000000e+01
9.794647497354285193e-01	3.169683040973769295e+01	5.200000000000000000e+01
9.822172058996108124e-01	3.202439500244886261e+01	5.000000000000000000e+01
9.846007347394051257e-01	3.232881250406513374e+01	4.800000000000000000e+01
9.866647856783667958e-01	3.260711462548394479e+01	4.600000000000000000e+01
9.884521801531054308e-01	3.285626093173236484e+01	4.300000000000000000e+01
9.899999999999999911e-01	3.307401838439979969e+01	4.100000000000000000e+01
9.913403567663993110e-01	3.325773281805383874e+01	3.800000000000000000e+01
9.925010579066754213e-01	3.340603821965254383e+01	3.600000000000000000e+01
9.935061836842379313e-01	3.351766927526970363e+01	3.400000000000000000e+01
9.943765867480964804e-01	3.359235933583421740e+01	3.100000000000000000e+01
9.951303247483413994e-01	3.363049756532747381e+01	2.900000000000000000e+01
9.957830349657141866e-01	3.363276985375270556e+01	2.700000000000000000e+01
9.963482587274515856e-01	3.360059695685769299e+01	2.500000000000000000e+01
9.968377223398315889e-01	3.353550646436060845e+01	2.300000000000000000e+01
9.972615803657356448e-01	3.343926207328715350e+01	2.200000000000000000e+01
9.976286262943383498e-01	3.331330514082343086e+01	2.000000000000000000e+01
9.979464749735428297e-01	3.315951348835682921e+01	1.900000000000000000e+01
9.982217205899610590e-01	3.297934105798775306e+01	1.700000000000000000e+01
9.984600734739405015e-01	3.277466125145011233e+01	1.600000000000000000e+01
9.986664785678366352e-01	3.254640874609198420e+01	1.500000000000000000e+01
9.988452180153105653e-01	3.229575143998219744e+01	1.400000000000000000e+01
9.989999999999999991e-01	3.202366574432411994e+01	1.300000000000000000e+01
9.991340356766399422e-01	3.173087754690408602e+01	1.200000000000000000e+01
9.992501057906675310e-01	3.141838229536170957e+01	1.100000000000000000e+01
9.993506183684237598e-01	3.108631304107301574e+01	1.000000000000000000e+01
9.994376586748096036e-01	3.073519035082806283e+01	9.000000000000000000e+00
9.995130324748341399e-01	3.036518776911601236e+01	9.000000000000000000e+00
9.995783034965713965e-01	2.997622670752560836e+01	8.000000000000000000e+00
9.996348258727452141e-01	2.956826156724887511e+01	7.000000000000000000e+00
9.996837722339831922e-01	2.914073761170403998e+01	7.000000000000000000e+00
9.997261580365736089e-01	2.869283795357713274e+01	6.000000000000000000e+00
9.997628626294338128e-01	2.822353404892092854e+01	6.000000000000000000e+00
9.997946474973542497e-01	2.773128815772572864e+01	5.000000000000000000e+00
9.998221720589961503e-01	2.721422429353349060e+01	5.000000000000000000e+00
9.998460073473940390e-01	2.666970898379931398e+01	5.000000000000000000e+00
9.998666478567836968e-01	2.609475746451767364e+01	4.000000000000000000e+00
9.998845218015310898e-01	2.548519666496886771e+01	4.000000000000000000e+00
9.999000000000000110e-01	2.483539233043260452e+01	4.000000000000000000e+00
