#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.183951552959064735e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.261644337325190790e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.336439397180232902e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.411286387593273339e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.485625218598071484e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.558064753193473528e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.628178970892097865e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.696318244573392064e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.762983070701408650e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.828475216409609772e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.892827549954262878e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.955901252104409238e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.017449209471635641e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.077192517015028272e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.134896489761537097e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.190388427108710800e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.243576611411571520e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.294462277605862965e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.343115793129367574e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.389658149832458633e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.434244169645709022e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.477032935374445088e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.518178226095819738e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.557810200270188261e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.596027344141849014e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.632890587303753804e+01	3.300000000000000000e+01
9.762862629433834982e-01	2.668411271054825207e+01	3.300000000000000000e+01
9.794647497354285193e-01	2.702563577392272620e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.735285331599272496e+01	3.400000000000000000e+01
9.846007347394051257e-01	2.766476844421650227e+01	3.400000000000000000e+01
9.866647856783667958e-01	2.796007181274232067e+01	3.300000000000000000e+01
9.884521801531054308e-01	2.823697800109052736e+01	3.300000000000000000e+01
9.899999999999999911e-01	2.849348449627733260e+01	3.200000000000000000e+01
9.913403567663993110e-01	2.872741641140920876e+01	3.200000000000000000e+01
9.925010579066754213e-01	2.893618417480400495e+01	3.100000000000000000e+01
9.935061836842379313e-01	2.911711147363801544e+01	3.000000000000000000e+01
9.943765867480964804e-01	2.926759796060973784e+01	2.900000000000000000e+01
9.951303247483413994e-01	2.938529601024914939e+01	2.700000000000000000e+01
9.957830349657141866e-01	2.946817020528088449e+01	2.600000000000000000e+01
9.963482587274515856e-01	2.951520217051488260e+01	2.400000000000000000e+01
9.968377223398315889e-01	2.952581437390999852e+01	2.300000000000000000e+01
9.972615803657356448e-01	2.950055174064512187e+01	2.200000000000000000e+01
9.976286262943383498e-01	2.944055041752131530e+01	2.000000000000000000e+01
9.979464749735428297e-01	2.934764035708265695e+01	1.900000000000000000e+01
9.982217205899610590e-01	2.922392024738064009e+01	1.700000000000000000e+01
9.984600734739405015e-01	2.907179921194440908e+01	1.600000000000000000e+01
9.986664785678366352e-01	2.889330634548358745e+01	1.500000000000000000e+01
9.988452180153105653e-01	2.869045926829814519e+01	1.400000000000000000e+01
9.989999999999999991e-01	2.846500978895095813e+01	1.300000000000000000e+01
9.991340356766399422e-01	2.821810028914374868e+01	1.200000000000000000e+01
9.992501057906675310e-01	2.795077828634816797e+01	1.100000000000000000e+01
9.993506183684237598e-01	2.766340351453254698e+01	1.000000000000000000e+01
9.994376586748096036e-01	2.735603674477259162e+01	1.000000000000000000e+01
9.995130324748341399e-01	2.702850066613873992e+01	9.000000000000000000e+00
9.995783034965713965e-01	2.668014168772565498e+01	8.000000000000000000e+00
9.996348258727452141e-01	2.631017837839518947e+01	8.000000000000000000e+00
9.996837722339831922e-01	2.591764134257752872e+01	7.000000000000000000e+00
9.997261580365736089e-01	2.550126980056060688e+01	6.000000000000000000e+00
9.997628626294338128e-01	2.505986459194487992e+01	6.000000000000000000e+00
9.997946474973542497e-01	2.459210397246920721e+01	5.000000000000000000e+00
9.998221720589961503e-01	2.409663527844624653e+01	5.000000000000000000e+00
9.998460073473940390e-01	2.357173524009336774e+01	5.000000000000000000e+00
9.998666478567836968e-01	2.301556606708171415e+01	4.000000000000000000e+00
9.998845218015310898e-01	2.242536098005771450e+01	4.000000000000000000e+00
9.999000000000000110e-01	2.179740322789055540e+01	4.000000000000000000e+00
