#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.182616557926223777e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.267183046790072964e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.350262802091585357e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.430123243480102069e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.505650524043295135e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.577143181120287707e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.645674815397224577e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.712296957155508181e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.777654400085201303e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.841953029850299828e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.905078852563734770e+01	1.800000000000000000e+01
7.946474973542854148e-01	1.966678297146174970e+01	1.900000000000000000e+01
8.221720589961076797e-01	2.026315527050770271e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.083570601402670164e+01	2.200000000000000000e+01
8.666478567836676250e-01	2.138171945674244157e+01	2.300000000000000000e+01
8.845218015310541970e-01	2.190043595643697216e+01	2.300000000000000000e+01
9.000000000000000222e-01	2.239287401545822931e+01	2.400000000000000000e+01
9.134035676639934431e-01	2.286140280808659853e+01	2.500000000000000000e+01
9.250105790667544348e-01	2.330866920798589703e+01	2.500000000000000000e+01
9.350618368423788684e-01	2.373704515866480236e+01	2.600000000000000000e+01
9.437658674809651371e-01	2.414850497186061773e+01	2.600000000000000000e+01
9.513032474834136609e-01	2.454398675971707888e+01	2.600000000000000000e+01
9.578303496571417552e-01	2.492375513653579233e+01	2.600000000000000000e+01
9.634825872745161890e-01	2.528744094412824950e+01	2.600000000000000000e+01
9.683772233983162225e-01	2.563426700622751753e+01	2.500000000000000000e+01
9.726158036573563370e-01	2.596310076821291446e+01	2.500000000000000000e+01
9.762862629433834982e-01	2.627278794948464480e+01	2.400000000000000000e+01
9.794647497354285193e-01	2.656222222044462455e+01	2.300000000000000000e+01
9.822172058996108124e-01	2.683021036167793483e+01	2.200000000000000000e+01
9.846007347394051257e-01	2.707571581935134120e+01	2.100000000000000000e+01
9.866647856783667958e-01	2.729776133999110499e+01	2.000000000000000000e+01
9.884521801531054308e-01	2.749544446389302266e+01	2.000000000000000000e+01
9.899999999999999911e-01	2.766779625153434807e+01	1.900000000000000000e+01
9.913403567663993110e-01	2.781388083784360887e+01	1.800000000000000000e+01
9.925010579066754213e-01	2.793278848587028662e+01	1.700000000000000000e+01
9.935061836842379313e-01	2.802349975147807370e+01	1.600000000000000000e+01
9.943765867480964804e-01	2.808505264618280961e+01	1.500000000000000000e+01
9.951303247483413994e-01	2.811627493610424722e+01	1.500000000000000000e+01
9.957830349657141866e-01	2.811632876989891727e+01	1.400000000000000000e+01
9.963482587274515856e-01	2.808414197054185379e+01	1.300000000000000000e+01
9.968377223398315889e-01	2.801893430103948646e+01	1.300000000000000000e+01
9.972615803657356448e-01	2.792006676851645608e+01	1.200000000000000000e+01
9.976286262943383498e-01	2.778723223144968912e+01	1.100000000000000000e+01
9.979464749735428297e-01	2.762041610651480994e+01	1.100000000000000000e+01
9.982217205899610590e-01	2.742003451156822180e+01	1.000000000000000000e+01
9.984600734739405015e-01	2.718705096171209945e+01	9.000000000000000000e+00
9.986664785678366352e-01	2.692285112473046382e+01	9.000000000000000000e+00
9.988452180153105653e-01	2.662924720855492922e+01	8.000000000000000000e+00
9.989999999999999991e-01	2.630838104577581760e+01	8.000000000000000000e+00
9.991340356766399422e-01	2.596288203998865285e+01	7.000000000000000000e+00
9.992501057906675310e-01	2.559524416645934863e+01	7.000000000000000000e+00
9.993506183684237598e-01	2.520805254884088953e+01	6.000000000000000000e+00
9.994376586748096036e-01	2.480364405798948013e+01	6.000000000000000000e+00
9.995130324748341399e-01	2.438417948008432035e+01	5.000000000000000000e+00
9.995783034965713965e-01	2.395110946189956280e+01	5.000000000000000000e+00
9.996348258727452141e-01	2.350564983595623048e+01	5.000000000000000000e+00
9.996837722339831922e-01	2.304828550887474847e+01	4.000000000000000000e+00
9.997261580365736089e-01	2.257906511483820111e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.209747390904485798e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.160232566886452332e+01	3.000000000000000000e+00
9.998221720589961503e-01	2.109204973796056848e+01	3.000000000000000000e+00
9.998460073473940390e-01	2.056436243883760895e+01	3.000000000000000000e+00
9.998666478567836968e-01	2.001652336687480727e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.944506757396234775e+01	3.000000000000000000e+00
9.999000000000000110e-01	1.884583065397820434e+01	2.000000000000000000e+00
