#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.158827934415640826e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.251686211679335692e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.341052982959995177e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.424399357286678658e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.500864300873194779e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.571596745402547768e+01	1.100000000000000000e+01
5.783034965714177744e-01	1.638758109884010850e+01	1.200000000000000000e+01
6.348258727451623340e-01	1.704218337315553100e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.768937731147916281e+01	1.500000000000000000e+01
7.261580365735638143e-01	1.833079872659269682e+01	1.600000000000000000e+01
7.628626294338345382e-01	1.896363323564940728e+01	1.700000000000000000e+01
7.946474973542854148e-01	1.958363266651945267e+01	1.800000000000000000e+01
8.221720589961076797e-01	2.018677366873893675e+01	1.900000000000000000e+01
8.460073473940508126e-01	2.076998980727583799e+01	2.000000000000000000e+01
8.666478567836676250e-01	2.133100547796096791e+01	2.100000000000000000e+01
8.845218015310541970e-01	2.186827353194186330e+01	2.100000000000000000e+01
9.000000000000000222e-01	2.238081884524459753e+01	2.200000000000000000e+01
9.134035676639934431e-01	2.286821045958777887e+01	2.200000000000000000e+01
9.250105790667544348e-01	2.333063638334349932e+01	2.200000000000000000e+01
9.350618368423788684e-01	2.376895648001620032e+01	2.200000000000000000e+01
9.437658674809651371e-01	2.418425408653039455e+01	2.200000000000000000e+01
9.513032474834136609e-01	2.457792076082091270e+01	2.200000000000000000e+01
9.578303496571417552e-01	2.495120636802689162e+01	2.200000000000000000e+01
9.634825872745161890e-01	2.530518125132193319e+01	2.200000000000000000e+01
9.683772233983162225e-01	2.564040391381293205e+01	2.200000000000000000e+01
9.726158036573563370e-01	2.595718005336041756e+01	2.100000000000000000e+01
9.762862629433834982e-01	2.625516069481375325e+01	2.100000000000000000e+01
9.794647497354285193e-01	2.653369422248769283e+01	2.000000000000000000e+01
9.822172058996108124e-01	2.679181943440946512e+01	2.000000000000000000e+01
9.846007347394051257e-01	2.702842355578138367e+01	1.900000000000000000e+01
9.866647856783667958e-01	2.724227956723613175e+01	1.800000000000000000e+01
9.884521801531054308e-01	2.743213542616656397e+01	1.800000000000000000e+01
9.899999999999999911e-01	2.759681811915056571e+01	1.700000000000000000e+01
9.913403567663993110e-01	2.773539794459291130e+01	1.600000000000000000e+01
9.925010579066754213e-01	2.784688206319636095e+01	1.600000000000000000e+01
9.935061836842379313e-01	2.793071316133648807e+01	1.500000000000000000e+01
9.943765867480964804e-01	2.798634407676523495e+01	1.400000000000000000e+01
9.951303247483413994e-01	2.801356138455072653e+01	1.300000000000000000e+01
9.957830349657141866e-01	2.801220042968138202e+01	1.300000000000000000e+01
9.963482587274515856e-01	2.798230995888406625e+01	1.200000000000000000e+01
9.968377223398315889e-01	2.792415470970873415e+01	1.200000000000000000e+01
9.972615803657356448e-01	2.783791960397161702e+01	1.100000000000000000e+01
9.976286262943383498e-01	2.772392256919686560e+01	1.000000000000000000e+01
9.979464749735428297e-01	2.758250555083253985e+01	1.000000000000000000e+01
9.982217205899610590e-01	2.741399251886230459e+01	9.000000000000000000e+00
9.984600734739405015e-01	2.721882486072590268e+01	9.000000000000000000e+00
9.986664785678366352e-01	2.699720807342767870e+01	8.000000000000000000e+00
9.988452180153105653e-01	2.674931063277340826e+01	8.000000000000000000e+00
9.989999999999999991e-01	2.647542134555913051e+01	7.000000000000000000e+00
9.991340356766399422e-01	2.617549709164730842e+01	7.000000000000000000e+00
9.992501057906675310e-01	2.584970893039672291e+01	6.000000000000000000e+00
9.993506183684237598e-01	2.549797066658335964e+01	6.000000000000000000e+00
9.994376586748096036e-01	2.512024050887819726e+01	6.000000000000000000e+00
9.995130324748341399e-01	2.471645266345176140e+01	5.000000000000000000e+00
9.995783034965713965e-01	2.428660610506994999e+01	5.000000000000000000e+00
9.996348258727452141e-01	2.383054252420325270e+01	5.000000000000000000e+00
9.996837722339831922e-01	2.334829270339895757e+01	4.000000000000000000e+00
9.997261580365736089e-01	2.283985144716869087e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.230537783878003211e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.174485218278809029e+01	4.000000000000000000e+00
9.998221720589961503e-01	2.115844612721688378e+01	3.000000000000000000e+00
9.998460073473940390e-01	2.054618671355743231e+01	3.000000000000000000e+00
9.998666478567836968e-01	1.990805589954865695e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.924387908979428374e+01	3.000000000000000000e+00
9.999000000000000110e-01	1.855315197439006525e+01	3.000000000000000000e+00
