#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.196771178390369172e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.278336714948884634e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.358331669125041685e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.437347162513260379e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.515381548546413271e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.591985311360366850e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.666533226154351865e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.738442467513878853e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.807309148841558155e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.872954932974548115e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.935362594214133125e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.994703946640639458e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.051271004610494586e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.105425508715932281e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.157561830272583947e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.208058745571290871e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.257255782395983346e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.305388306242458896e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.352626136537523394e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.399025708009248348e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.444584693228483374e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.489210587216743420e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.532779961295688409e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.575134796571424189e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.616106527719963282e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.655540649363361183e+01	3.300000000000000000e+01
9.762862629433834982e-01	2.693282171641090628e+01	3.400000000000000000e+01
9.794647497354285193e-01	2.729210312587638754e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.763224409097146150e+01	3.400000000000000000e+01
9.846007347394051257e-01	2.795248013937665732e+01	3.400000000000000000e+01
9.866647856783667958e-01	2.825214251250227093e+01	3.500000000000000000e+01
9.884521801531054308e-01	2.853077126646473971e+01	3.400000000000000000e+01
9.899999999999999911e-01	2.878789587323097976e+01	3.400000000000000000e+01
9.913403567663993110e-01	2.902315264930563998e+01	3.400000000000000000e+01
9.925010579066754213e-01	2.923597795701807556e+01	3.400000000000000000e+01
9.935061836842379313e-01	2.942559284628884697e+01	3.300000000000000000e+01
9.943765867480964804e-01	2.959138619314636642e+01	3.200000000000000000e+01
9.951303247483413994e-01	2.973225856673862921e+01	3.200000000000000000e+01
9.957830349657141866e-01	2.984717073721831682e+01	3.100000000000000000e+01
9.963482587274515856e-01	2.993509420596786796e+01	2.900000000000000000e+01
9.968377223398315889e-01	2.999481529152869541e+01	2.800000000000000000e+01
9.972615803657356448e-01	3.002539098364710668e+01	2.700000000000000000e+01
9.976286262943383498e-01	3.002584948105306850e+01	2.500000000000000000e+01
9.979464749735428297e-01	2.999577663870888244e+01	2.400000000000000000e+01
9.982217205899610590e-01	2.993476582700981226e+01	2.200000000000000000e+01
9.984600734739405015e-01	2.984295517947792931e+01	2.100000000000000000e+01
9.986664785678366352e-01	2.972058526923769151e+01	1.900000000000000000e+01
9.988452180153105653e-01	2.956822861909124711e+01	1.800000000000000000e+01
9.989999999999999991e-01	2.938658446111826095e+01	1.700000000000000000e+01
9.991340356766399422e-01	2.917660139607996683e+01	1.600000000000000000e+01
9.992501057906675310e-01	2.893908244287855425e+01	1.400000000000000000e+01
9.993506183684237598e-01	2.867500928543392646e+01	1.300000000000000000e+01
9.994376586748096036e-01	2.838525969159888973e+01	1.200000000000000000e+01
9.995130324748341399e-01	2.807092781657964764e+01	1.100000000000000000e+01
9.995783034965713965e-01	2.773299932398445833e+01	1.000000000000000000e+01
9.996348258727452141e-01	2.737251523467012504e+01	9.000000000000000000e+00
9.996837722339831922e-01	2.699088360034671652e+01	9.000000000000000000e+00
9.997261580365736089e-01	2.658945350105929251e+01	8.000000000000000000e+00
9.997628626294338128e-01	2.617006372935939851e+01	7.000000000000000000e+00
9.997946474973542497e-01	2.573460648838588938e+01	7.000000000000000000e+00
9.998221720589961503e-01	2.528510828699651825e+01	6.000000000000000000e+00
9.998460073473940390e-01	2.482355843523824035e+01	6.000000000000000000e+00
9.998666478567836968e-01	2.435171688131720913e+01	5.000000000000000000e+00
9.998845218015310898e-01	2.387068806848361646e+01	5.000000000000000000e+00
9.999000000000000110e-01	2.338067783179465309e+01	4.000000000000000000e+00
