#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.186652194710298502e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.267990123475625808e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.348784681410977271e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.429281081998724012e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.509053621438413728e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.587352853277560705e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.663281107326548636e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.736080577593034491e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.805333191521464897e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.870971692725986912e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.933153709387066499e+01	1.800000000000000000e+01
7.946474973542854148e-01	1.992177082208572614e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.048411468023306625e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.102257365353307250e+01	2.200000000000000000e+01
8.666478567836676250e-01	2.154106992320877367e+01	2.300000000000000000e+01
8.845218015310541970e-01	2.204313824891293550e+01	2.400000000000000000e+01
9.000000000000000222e-01	2.253161913759395318e+01	2.500000000000000000e+01
9.134035676639934431e-01	2.300831875726249010e+01	2.600000000000000000e+01
9.250105790667544348e-01	2.347417692660993893e+01	2.600000000000000000e+01
9.350618368423788684e-01	2.392890398802432372e+01	2.600000000000000000e+01
9.437658674809651371e-01	2.437138565426597125e+01	2.700000000000000000e+01
9.513032474834136609e-01	2.479990168265868178e+01	2.700000000000000000e+01
9.578303496571417552e-01	2.521225390264454802e+01	2.700000000000000000e+01
9.634825872745161890e-01	2.560603749969367016e+01	2.600000000000000000e+01
9.683772233983162225e-01	2.597881636730030053e+01	2.600000000000000000e+01
9.726158036573563370e-01	2.632853285835208368e+01	2.500000000000000000e+01
9.762862629433834982e-01	2.665318316200822579e+01	2.500000000000000000e+01
9.794647497354285193e-01	2.695127083638168841e+01	2.400000000000000000e+01
9.822172058996108124e-01	2.722178156551857242e+01	2.300000000000000000e+01
9.846007347394051257e-01	2.746405339771864718e+01	2.200000000000000000e+01
9.866647856783667958e-01	2.767772986418399839e+01	2.100000000000000000e+01
9.884521801531054308e-01	2.786288126421574418e+01	2.000000000000000000e+01
9.899999999999999911e-01	2.801957963007431474e+01	1.900000000000000000e+01
9.913403567663993110e-01	2.814806910279582297e+01	1.900000000000000000e+01
9.925010579066754213e-01	2.824885426492901885e+01	1.800000000000000000e+01
9.935061836842379313e-01	2.832202440332998350e+01	1.700000000000000000e+01
9.943765867480964804e-01	2.836790251192996948e+01	1.600000000000000000e+01
9.951303247483413994e-01	2.838659116759487944e+01	1.500000000000000000e+01
9.957830349657141866e-01	2.837815435400070285e+01	1.400000000000000000e+01
9.963482587274515856e-01	2.834242108040781716e+01	1.400000000000000000e+01
9.968377223398315889e-01	2.827927797050726610e+01	1.300000000000000000e+01
9.972615803657356448e-01	2.818835073178002659e+01	1.200000000000000000e+01
9.976286262943383498e-01	2.806919294427686751e+01	1.100000000000000000e+01
9.979464749735428297e-01	2.792137136817528287e+01	1.100000000000000000e+01
9.982217205899610590e-01	2.774446710995681542e+01	1.000000000000000000e+01
9.984600734739405015e-01	2.753784938804102822e+01	9.000000000000000000e+00
9.986664785678366352e-01	2.730110182948278919e+01	9.000000000000000000e+00
9.988452180153105653e-01	2.703386342868336101e+01	8.000000000000000000e+00
9.989999999999999991e-01	2.673611522326901735e+01	8.000000000000000000e+00
9.991340356766399422e-01	2.640786350250169789e+01	7.000000000000000000e+00
9.992501057906675310e-01	2.604973902833362942e+01	7.000000000000000000e+00
9.993506183684237598e-01	2.566266142755155855e+01	6.000000000000000000e+00
9.994376586748096036e-01	2.524815432577905483e+01	6.000000000000000000e+00
9.995130324748341399e-01	2.480802141135887240e+01	6.000000000000000000e+00
9.995783034965713965e-01	2.434464134745898889e+01	5.000000000000000000e+00
9.996348258727452141e-01	2.386037790241192624e+01	5.000000000000000000e+00
9.996837722339831922e-01	2.335770793383943555e+01	4.000000000000000000e+00
9.997261580365736089e-01	2.283884767986155140e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.230552540545346574e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.175887595861716406e+01	4.000000000000000000e+00
9.998221720589961503e-01	2.119920019868726513e+01	3.000000000000000000e+00
9.998460073473940390e-01	2.062586178455257624e+01	3.000000000000000000e+00
9.998666478567836968e-01	2.003738070015694817e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.943117231824531643e+01	3.000000000000000000e+00
9.999000000000000110e-01	1.880385549786313959e+01	3.000000000000000000e+00
