#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.192121747883698291e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.290226276967226227e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.380579728638114290e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.465016137810809482e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.544729907060182050e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.620254654432455510e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.691850000996147685e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.759851658707493982e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.824821839115779198e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.887484529994963012e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.948494182892405746e+01	1.900000000000000000e+01
7.946474973542854148e-01	2.008284417908364361e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.067010140033205090e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.124585283944516334e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.180775576249712344e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.235281023196433381e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.287837934661668271e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.338238145227511211e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.386387570269134528e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.432270741548475002e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.475977959540360729e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.517635199440480065e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.557410268165492440e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.595465395974697742e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.631939898112440090e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.666957405978886442e+01	3.300000000000000000e+01
9.762862629433834982e-01	2.700588134485981584e+01	3.400000000000000000e+01
9.794647497354285193e-01	2.732862803328779222e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.763783612374821530e+01	3.400000000000000000e+01
9.846007347394051257e-01	2.793305083443259207e+01	3.400000000000000000e+01
9.866647856783667958e-01	2.821354607842147999e+01	3.400000000000000000e+01
9.884521801531054308e-01	2.847838537814509152e+01	3.400000000000000000e+01
9.899999999999999911e-01	2.872621251706177503e+01	3.300000000000000000e+01
9.913403567663993110e-01	2.895545611581590606e+01	3.300000000000000000e+01
9.925010579066754213e-01	2.916464311788369201e+01	3.200000000000000000e+01
9.935061836842379313e-01	2.935160891793165661e+01	3.100000000000000000e+01
9.943765867480964804e-01	2.951450744162466222e+01	3.000000000000000000e+01
9.951303247483413994e-01	2.965124500502659188e+01	2.900000000000000000e+01
9.957830349657141866e-01	2.975970448513904998e+01	2.800000000000000000e+01
9.963482587274515856e-01	2.983794291984875713e+01	2.600000000000000000e+01
9.968377223398315889e-01	2.988414876509434137e+01	2.500000000000000000e+01
9.972615803657356448e-01	2.989671343437872508e+01	2.300000000000000000e+01
9.976286262943383498e-01	2.987439214101733853e+01	2.200000000000000000e+01
9.979464749735428297e-01	2.981645286061574751e+01	2.000000000000000000e+01
9.982217205899610590e-01	2.972239142555181246e+01	1.900000000000000000e+01
9.984600734739405015e-01	2.959241941286062172e+01	1.800000000000000000e+01
9.986664785678366352e-01	2.942696109259688697e+01	1.700000000000000000e+01
9.988452180153105653e-01	2.922699426887739094e+01	1.500000000000000000e+01
9.989999999999999991e-01	2.899399332729853285e+01	1.400000000000000000e+01
9.991340356766399422e-01	2.872960223368361454e+01	1.300000000000000000e+01
9.992501057906675310e-01	2.843595019805210455e+01	1.200000000000000000e+01
9.993506183684237598e-01	2.811503211900443588e+01	1.100000000000000000e+01
9.994376586748096036e-01	2.776907968874214205e+01	1.000000000000000000e+01
9.995130324748341399e-01	2.740039053350843545e+01	1.000000000000000000e+01
9.995783034965713965e-01	2.701085318016224335e+01	9.000000000000000000e+00
9.996348258727452141e-01	2.660225856310581349e+01	8.000000000000000000e+00
9.996837722339831922e-01	2.617593816015412855e+01	8.000000000000000000e+00
9.997261580365736089e-01	2.573298647475789735e+01	7.000000000000000000e+00
9.997628626294338128e-01	2.527369816144128123e+01	6.000000000000000000e+00
9.997946474973542497e-01	2.479781420906078182e+01	6.000000000000000000e+00
9.998221720589961503e-01	2.430460193788817236e+01	5.000000000000000000e+00
9.998460073473940390e-01	2.379206709950789644e+01	5.000000000000000000e+00
9.998666478567836968e-01	2.325739329950231138e+01	4.000000000000000000e+00
9.998845218015310898e-01	2.269661504060877277e+01	4.000000000000000000e+00
9.999000000000000110e-01	2.210371744131582261e+01	4.000000000000000000e+00
