#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.168923992662860734e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.262125644835246163e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.356790471823134325e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.440540637818470771e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.510534781968920548e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.572596946734475054e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.632098587231296705e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.692189892742829116e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.754186986016826566e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.818264530970729353e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.883950149647761307e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.950474129975077275e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.016919011235831150e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.082292793292614519e+01
8.666478567836676250e-01	2.300000000000000000e+01	2.145578444966067622e+01
8.845218015310541970e-01	2.400000000000000000e+01	2.205839538004246947e+01
9.000000000000000222e-01	2.400000000000000000e+01	2.262304634772921474e+01
9.134035676639934431e-01	2.500000000000000000e+01	2.314512155000664251e+01
9.250105790667544348e-01	2.600000000000000000e+01	2.362376215412830760e+01
9.350618368423788684e-01	2.600000000000000000e+01	2.406156437021191152e+01
9.437658674809651371e-01	2.600000000000000000e+01	2.446373221745984949e+01
9.513032474834136609e-01	2.600000000000000000e+01	2.483619964958062099e+01
9.578303496571417552e-01	2.600000000000000000e+01	2.518484195515357627e+01
9.634825872745161890e-01	2.600000000000000000e+01	2.551446539295238125e+01
9.683772233983162225e-01	2.500000000000000000e+01	2.582815587888764242e+01
9.726158036573563370e-01	2.500000000000000000e+01	2.612772392628590978e+01
9.762862629433834982e-01	2.400000000000000000e+01	2.641368834859080295e+01
9.794647497354285193e-01	2.400000000000000000e+01	2.668530640003837462e+01
9.822172058996108124e-01	2.300000000000000000e+01	2.694134331246937819e+01
9.846007347394051257e-01	2.200000000000000000e+01	2.717986443348645054e+01
9.866647856783667958e-01	2.100000000000000000e+01	2.739887866277349460e+01
9.884521801531054308e-01	2.000000000000000000e+01	2.759620555740239212e+01
9.899999999999999911e-01	2.000000000000000000e+01	2.776980509676447184e+01
9.913403567663993110e-01	1.900000000000000000e+01	2.791783311905541609e+01
9.925010579066754213e-01	1.800000000000000000e+01	2.803884776202194118e+01
9.935061836842379313e-01	1.700000000000000000e+01	2.813160205194149199e+01
9.943765867480964804e-01	1.600000000000000000e+01	2.819532399775986775e+01
9.951303247483413994e-01	1.500000000000000000e+01	2.822948099510502828e+01
9.957830349657141866e-01	1.400000000000000000e+01	2.823402619119523393e+01
9.963482587274515856e-01	1.300000000000000000e+01	2.820907799005649963e+01
9.968377223398315889e-01	1.300000000000000000e+01	2.815494863260248692e+01
9.972615803657356448e-01	1.200000000000000000e+01	2.807220236904649724e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.796145731005972834e+01
9.979464749735428297e-01	1.100000000000000000e+01	2.782335878273734409e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.765860185846461405e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.746763675106272728e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.725093438957831538e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.700858719533173513e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.674058252833508220e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.644659734041066557e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.612614916345866334e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.577823729709569633e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.540198145500056626e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.499604545829761548e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.455901857679112510e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.408962720306350391e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.358630431258731619e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.304777377692446549e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.247288555714266067e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.186064910932296357e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.121025573499028383e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.052104089908827333e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.979229011999313670e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.902312901067868012e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.821236643100864327e+01
