#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.205995310098719031e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.279803942885563828e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.351201731712326826e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.422612439834593623e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.492836851620945282e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.561703849583016535e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.630284184587035057e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.699544778082116991e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.769846072432440565e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.840960713098578339e+01
7.628626294338345382e-01	1.900000000000000000e+01	1.912238365027100073e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.982800958669882618e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.051642371319621816e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.117779279129831238e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.180349587483989993e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.238729496455921009e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.292655252810843081e+01
9.134035676639934431e-01	2.700000000000000000e+01	2.342203770735252988e+01
9.250105790667544348e-01	2.800000000000000000e+01	2.387787842701140661e+01
9.350618368423788684e-01	2.900000000000000000e+01	2.430017003293362876e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.469559213356183136e+01
9.513032474834136609e-01	3.100000000000000000e+01	2.507070905502838087e+01
9.578303496571417552e-01	3.100000000000000000e+01	2.543081471620211431e+01
9.634825872745161890e-01	3.200000000000000000e+01	2.577989862627562800e+01
9.683772233983162225e-01	3.200000000000000000e+01	2.612055434363632145e+01
9.726158036573563370e-01	3.300000000000000000e+01	2.645402951586001805e+01
9.762862629433834982e-01	3.300000000000000000e+01	2.678055011110723527e+01
9.794647497354285193e-01	3.300000000000000000e+01	2.709953547583911870e+01
9.822172058996108124e-01	3.300000000000000000e+01	2.740962036692188519e+01
9.846007347394051257e-01	3.300000000000000000e+01	2.770892334349839814e+01
9.866647856783667958e-01	3.200000000000000000e+01	2.799507585284859346e+01
9.884521801531054308e-01	3.200000000000000000e+01	2.826557083373084822e+01
9.899999999999999911e-01	3.100000000000000000e+01	2.851736241587643406e+01
9.913403567663993110e-01	3.000000000000000000e+01	2.874746350492502245e+01
9.925010579066754213e-01	2.900000000000000000e+01	2.895281525611544993e+01
9.935061836842379313e-01	2.800000000000000000e+01	2.913032399966107278e+01
9.943765867480964804e-01	2.700000000000000000e+01	2.927714495577741971e+01
9.951303247483413994e-01	2.500000000000000000e+01	2.939082851563963317e+01
9.957830349657141866e-01	2.400000000000000000e+01	2.946939245984324884e+01
9.963482587274515856e-01	2.200000000000000000e+01	2.951147078692723724e+01
9.968377223398315889e-01	2.100000000000000000e+01	2.951633895132067309e+01
9.972615803657356448e-01	2.000000000000000000e+01	2.948387192042451943e+01
9.976286262943383498e-01	1.800000000000000000e+01	2.941452690520213764e+01
9.979464749735428297e-01	1.700000000000000000e+01	2.930923961353160578e+01
9.982217205899610590e-01	1.600000000000000000e+01	2.916942105320794809e+01
9.984600734739405015e-01	1.500000000000000000e+01	2.899678617924923074e+01
9.986664785678366352e-01	1.400000000000000000e+01	2.879297651396278823e+01
9.988452180153105653e-01	1.300000000000000000e+01	2.855995780663263517e+01
9.989999999999999991e-01	1.200000000000000000e+01	2.829944886611470878e+01
9.991340356766399422e-01	1.100000000000000000e+01	2.801313043304180184e+01
9.992501057906675310e-01	1.000000000000000000e+01	2.770235019192328707e+01
9.993506183684237598e-01	9.000000000000000000e+00	2.736839875929472043e+01
9.994376586748096036e-01	9.000000000000000000e+00	2.701219196431142677e+01
9.995130324748341399e-01	8.000000000000000000e+00	2.663435922760507424e+01
9.995783034965713965e-01	7.000000000000000000e+00	2.623520076994475758e+01
9.996348258727452141e-01	7.000000000000000000e+00	2.581471435596910169e+01
9.996837722339831922e-01	6.000000000000000000e+00	2.537265492482742957e+01
9.997261580365736089e-01	6.000000000000000000e+00	2.490831229612538067e+01
9.997628626294338128e-01	5.000000000000000000e+00	2.442062237657868806e+01
9.997946474973542497e-01	5.000000000000000000e+00	2.390810018196663478e+01
9.998221720589961503e-01	5.000000000000000000e+00	2.336875525900057937e+01
9.998460073473940390e-01	4.000000000000000000e+00	2.279997701219561179e+01
9.998666478567836968e-01	4.000000000000000000e+00	2.219837305229204816e+01
9.998845218015310898e-01	3.000000000000000000e+00	2.156003308777661331e+01
9.999000000000000110e-01	3.000000000000000000e+00	2.087828822270451923e+01
