#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.218933869153460314e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.294369194659317301e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.369547907265758013e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.443666983396632375e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.516835223888424267e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.589375991365765195e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.661527691404269902e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.733324268839382754e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.804458478465937787e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.874136732891494717e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.941109279153011258e+01
7.946474973542854148e-01	2.000000000000000000e+01	2.004044922066263723e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.062024047617183697e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.114946341169869015e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.163519340535740554e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.208936435207136384e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.252449040317657847e+01
9.134035676639934431e-01	2.700000000000000000e+01	2.295043392998128340e+01
9.250105790667544348e-01	2.800000000000000000e+01	2.337362007189173596e+01
9.350618368423788684e-01	2.800000000000000000e+01	2.379704520538720303e+01
9.437658674809651371e-01	2.900000000000000000e+01	2.422084865654636232e+01
9.513032474834136609e-01	2.900000000000000000e+01	2.464318582083438969e+01
9.578303496571417552e-01	2.900000000000000000e+01	2.506094481403649965e+01
9.634825872745161890e-01	2.900000000000000000e+01	2.547017987622491830e+01
9.683772233983162225e-01	2.900000000000000000e+01	2.586676117278923925e+01
9.726158036573563370e-01	2.900000000000000000e+01	2.624648306974258816e+01
9.762862629433834982e-01	2.900000000000000000e+01	2.660555129359248383e+01
9.794647497354285193e-01	2.800000000000000000e+01	2.694077334283699443e+01
9.822172058996108124e-01	2.700000000000000000e+01	2.724966573636666922e+01
9.846007347394051257e-01	2.600000000000000000e+01	2.753023539412740206e+01
9.866647856783667958e-01	2.600000000000000000e+01	2.778123156381992231e+01
9.884521801531054308e-01	2.400000000000000000e+01	2.800189205094453015e+01
9.899999999999999911e-01	2.300000000000000000e+01	2.819196878302481934e+01
9.913403567663993110e-01	2.200000000000000000e+01	2.835142532684819372e+01
9.925010579066754213e-01	2.100000000000000000e+01	2.848035494312075500e+01
9.935061836842379313e-01	2.000000000000000000e+01	2.857913254004488834e+01
9.943765867480964804e-01	1.900000000000000000e+01	2.864801271401118399e+01
9.951303247483413994e-01	1.800000000000000000e+01	2.868741595456459592e+01
9.957830349657141866e-01	1.700000000000000000e+01	2.869752088187484063e+01
9.963482587274515856e-01	1.600000000000000000e+01	2.867844843877599459e+01
9.968377223398315889e-01	1.500000000000000000e+01	2.863032656358669925e+01
9.972615803657356448e-01	1.400000000000000000e+01	2.855316092473486478e+01
9.976286262943383498e-01	1.300000000000000000e+01	2.844692814061776787e+01
9.979464749735428297e-01	1.200000000000000000e+01	2.831147774359425640e+01
9.982217205899610590e-01	1.100000000000000000e+01	2.814669198179700871e+01
9.984600734739405015e-01	1.100000000000000000e+01	2.795248060967611536e+01
9.986664785678366352e-01	1.000000000000000000e+01	2.772861054562352479e+01
9.988452180153105653e-01	9.000000000000000000e+00	2.747506537768531842e+01
9.989999999999999991e-01	9.000000000000000000e+00	2.719191090527611721e+01
9.991340356766399422e-01	8.000000000000000000e+00	2.687938272642456639e+01
9.992501057906675310e-01	8.000000000000000000e+00	2.653787354022711042e+01
9.993506183684237598e-01	7.000000000000000000e+00	2.616824836301559998e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.577148629363782817e+01
9.995130324748341399e-01	6.000000000000000000e+00	2.534916685094821176e+01
9.995783034965713965e-01	6.000000000000000000e+00	2.490300617348893653e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.443497355971896923e+01
9.996837722339831922e-01	5.000000000000000000e+00	2.394700631045287764e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.344107676303213594e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.291856358394403159e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.238014767794042115e+01
9.998221720589961503e-01	4.000000000000000000e+00	2.182580622262371151e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.125432763464335295e+01
9.998666478567836968e-01	3.000000000000000000e+00	2.066317197017409057e+01
9.998845218015310898e-01	3.000000000000000000e+00	2.004860344023322938e+01
9.999000000000000110e-01	3.000000000000000000e+00	1.940524130460817887e+01
