#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.185676407070898541e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.299511078744259152e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.398747820404198094e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.469148162747291586e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.529173415149360515e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.589136097573402395e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.651488313448642131e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.716416569417800275e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.783189879735389738e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.850723782552609364e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.917834641415187846e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.983449330555886192e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.046651339152409932e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.106765190132873045e+01
8.666478567836676250e-01	2.300000000000000000e+01	2.163386316025691514e+01
8.845218015310541970e-01	2.400000000000000000e+01	2.216380299037725266e+01
9.000000000000000222e-01	2.500000000000000000e+01	2.265851807779874605e+01
9.134035676639934431e-01	2.500000000000000000e+01	2.312076485752152522e+01
9.250105790667544348e-01	2.600000000000000000e+01	2.355446828074074972e+01
9.350618368423788684e-01	2.600000000000000000e+01	2.396371091317898561e+01
9.437658674809651371e-01	2.600000000000000000e+01	2.435241643847940196e+01
9.513032474834136609e-01	2.600000000000000000e+01	2.472361167214490507e+01
9.578303496571417552e-01	2.600000000000000000e+01	2.507955427655402048e+01
9.634825872745161890e-01	2.600000000000000000e+01	2.542175840223076477e+01
9.683772233983162225e-01	2.600000000000000000e+01	2.575069141455669453e+01
9.726158036573563370e-01	2.500000000000000000e+01	2.606633837811388688e+01
9.762862629433834982e-01	2.500000000000000000e+01	2.636806213822871570e+01
9.794647497354285193e-01	2.400000000000000000e+01	2.665485768708127523e+01
9.822172058996108124e-01	2.300000000000000000e+01	2.692537783568348431e+01
9.846007347394051257e-01	2.200000000000000000e+01	2.717812633972184955e+01
9.866647856783667958e-01	2.100000000000000000e+01	2.741146897176376385e+01
9.884521801531054308e-01	2.000000000000000000e+01	2.762369803015683090e+01
9.899999999999999911e-01	1.900000000000000000e+01	2.781327223527930670e+01
9.913403567663993110e-01	1.800000000000000000e+01	2.797838413867709306e+01
9.925010579066754213e-01	1.800000000000000000e+01	2.811752380641751259e+01
9.935061836842379313e-01	1.700000000000000000e+01	2.822919918093757730e+01
9.943765867480964804e-01	1.600000000000000000e+01	2.831211136567067399e+01
9.951303247483413994e-01	1.500000000000000000e+01	2.836501275840601721e+01
9.957830349657141866e-01	1.400000000000000000e+01	2.838689325717281164e+01
9.963482587274515856e-01	1.300000000000000000e+01	2.837703215679055901e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.833469988566258024e+01
9.972615803657356448e-01	1.200000000000000000e+01	2.825954688145604266e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.815131982922693865e+01
9.979464749735428297e-01	1.000000000000000000e+01	2.801009851178729093e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.783614225405773368e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.762980573395906703e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.739175865017372047e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.712263175656582703e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.682338132938839692e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.649480789200329411e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.613775754101083493e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.575310923316851586e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.534152036684041676e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.490352040057050687e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.443920813956011884e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.394847999521232396e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.343082426042554900e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.288522735276079345e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.230988252408089068e+01
9.997946474973542497e-01	3.000000000000000000e+00	2.170236285914379692e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.105925753748103091e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.037594032391390897e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.964638074508759047e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.886263415412249955e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.801483674462346585e+01
