#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	7.000000000000000000e+00	1.218931842599240056e+01
1.340356766399346533e-01	8.000000000000000000e+00	1.300443422052161502e+01
2.501057906675441256e-01	9.000000000000000000e+00	1.395019840451168669e+01
3.506183684237886844e-01	1.000000000000000000e+01	1.475076224657246726e+01
4.376586748096509272e-01	1.100000000000000000e+01	1.544650364670306786e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.610670428726719194e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.675001641746096936e+01
6.348258727451623340e-01	1.500000000000000000e+01	1.738038422534422267e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.799885043870237311e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.860562657939996711e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.920103182999264391e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.978649491464547339e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.036414941765462672e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.093569384897853780e+01
8.666478567836676250e-01	2.300000000000000000e+01	2.150128827420811106e+01
8.845218015310541970e-01	2.400000000000000000e+01	2.205900271398844481e+01
9.000000000000000222e-01	2.500000000000000000e+01	2.260533391534656289e+01
9.134035676639934431e-01	2.600000000000000000e+01	2.313567272388905138e+01
9.250105790667544348e-01	2.600000000000000000e+01	2.364506317774603517e+01
9.350618368423788684e-01	2.700000000000000000e+01	2.412950361554856471e+01
9.437658674809651371e-01	2.700000000000000000e+01	2.458580038898523057e+01
9.513032474834136609e-01	2.700000000000000000e+01	2.501221236152637672e+01
9.578303496571417552e-01	2.700000000000000000e+01	2.540784478111754652e+01
9.634825872745161890e-01	2.700000000000000000e+01	2.577313409803342381e+01
9.683772233983162225e-01	2.600000000000000000e+01	2.610879599306435850e+01
9.726158036573563370e-01	2.600000000000000000e+01	2.641645855714457625e+01
9.762862629433834982e-01	2.500000000000000000e+01	2.669753280014039376e+01
9.794647497354285193e-01	2.400000000000000000e+01	2.695362393847040039e+01
9.822172058996108124e-01	2.400000000000000000e+01	2.718611129634079759e+01
9.846007347394051257e-01	2.300000000000000000e+01	2.739614154274109126e+01
9.866647856783667958e-01	2.200000000000000000e+01	2.758442998992154926e+01
9.884521801531054308e-01	2.100000000000000000e+01	2.775127459973438349e+01
9.899999999999999911e-01	2.000000000000000000e+01	2.789657959911405527e+01
9.913403567663993110e-01	1.900000000000000000e+01	2.801972528998691203e+01
9.925010579066754213e-01	1.800000000000000000e+01	2.812000443893294488e+01
9.935061836842379313e-01	1.700000000000000000e+01	2.819619794997123563e+01
9.943765867480964804e-01	1.600000000000000000e+01	2.824711015495679334e+01
9.951303247483413994e-01	1.500000000000000000e+01	2.827134399335237447e+01
9.957830349657141866e-01	1.400000000000000000e+01	2.826759866071773786e+01
9.963482587274515856e-01	1.400000000000000000e+01	2.823466392048927531e+01
9.968377223398315889e-01	1.300000000000000000e+01	2.817169875985770844e+01
9.972615803657356448e-01	1.200000000000000000e+01	2.807794133975780682e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.795304963106684681e+01
9.979464749735428297e-01	1.100000000000000000e+01	2.779714842568158417e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.761058478458999588e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.739412718244212286e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.714885919389630331e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.687598316720342240e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.657688984070694005e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.625300533374547030e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.590569762571022139e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.553595086664500968e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.514474667206021863e+01
9.995130324748341399e-01	6.000000000000000000e+00	2.473256630613288110e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.429953268442462289e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.384529400019978240e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.336883058210425190e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.286856083514159010e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.234230804071462728e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.178686273703170428e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.119816796124525382e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.057096488671275125e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.989859827720499652e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.917252594515196762e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.838179475903264404e+01
