#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.192916411908387708e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.266433853653044395e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.341954167938314768e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.416997354480356108e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.490338992327218648e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.561987821003508969e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.632474387069563448e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.702449848870909577e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.772288011397652596e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.841697936874879815e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.909604473045706996e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.974438684069732020e+01
8.221720589961076797e-01	2.000000000000000000e+01	2.034852465626107687e+01
8.460073473940508126e-01	2.100000000000000000e+01	2.090267615420878400e+01
8.666478567836676250e-01	2.200000000000000000e+01	2.141075306549459611e+01
8.845218015310541970e-01	2.300000000000000000e+01	2.188303637298607995e+01
9.000000000000000222e-01	2.400000000000000000e+01	2.233131383569721962e+01
9.134035676639934431e-01	2.400000000000000000e+01	2.276545953911296749e+01
9.250105790667544348e-01	2.400000000000000000e+01	2.319151009451990930e+01
9.350618368423788684e-01	2.500000000000000000e+01	2.361221330728563217e+01
9.437658674809651371e-01	2.500000000000000000e+01	2.402770296273729400e+01
9.513032474834136609e-01	2.400000000000000000e+01	2.443612677725854354e+01
9.578303496571417552e-01	2.400000000000000000e+01	2.483468032649537349e+01
9.634825872745161890e-01	2.400000000000000000e+01	2.521986002682877626e+01
9.683772233983162225e-01	2.300000000000000000e+01	2.558838692223904587e+01
9.726158036573563370e-01	2.300000000000000000e+01	2.593707628109275376e+01
9.762862629433834982e-01	2.200000000000000000e+01	2.626335622117817081e+01
9.794647497354285193e-01	2.200000000000000000e+01	2.656523830778830941e+01
9.822172058996108124e-01	2.100000000000000000e+01	2.684132032883671215e+01
9.846007347394051257e-01	2.000000000000000000e+01	2.709073261106208008e+01
9.866647856783667958e-01	1.900000000000000000e+01	2.731298743845075450e+01
9.884521801531054308e-01	1.900000000000000000e+01	2.750790874276416886e+01
9.899999999999999911e-01	1.800000000000000000e+01	2.767551933552998022e+01
9.913403567663993110e-01	1.700000000000000000e+01	2.781589915960086401e+01
9.925010579066754213e-01	1.600000000000000000e+01	2.792905835520660318e+01
9.935061836842379313e-01	1.600000000000000000e+01	2.801510473544141888e+01
9.943765867480964804e-01	1.500000000000000000e+01	2.807385021631267819e+01
9.951303247483413994e-01	1.400000000000000000e+01	2.810514850300391032e+01
9.957830349657141866e-01	1.300000000000000000e+01	2.810870132027398327e+01
9.963482587274515856e-01	1.300000000000000000e+01	2.808410586203832437e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.803087451566395316e+01
9.972615803657356448e-01	1.100000000000000000e+01	2.794848734019005221e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.783641869040253880e+01
9.979464749735428297e-01	1.000000000000000000e+01	2.769406945817914689e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.752087443922187759e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.731635928742350217e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.708020954763582466e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.681226313754355317e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.651254027503478383e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.618141719080455232e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.581980072987417074e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.542883337699604951e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.501025161254725404e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.456610234398562298e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.409881446658936355e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.361087379304617073e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.310469789593730638e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.258240007947721395e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.204573527844038594e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.149562228837358902e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.093248492886677070e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.035573585912281303e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.976386980602466181e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.915474828471926116e+01
9.999000000000000110e-01	3.000000000000000000e+00	1.852508823265462468e+01
