#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	7.000000000000000000e+00	1.238002259280554540e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.307576905940623746e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.383982826027492052e+01
3.506183684237886844e-01	1.000000000000000000e+01	1.462545383718732772e+01
4.376586748096509272e-01	1.100000000000000000e+01	1.539397273219192464e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.613804880533325914e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.686731548979352624e+01
6.348258727451623340e-01	1.500000000000000000e+01	1.759018300104385091e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.830688280990287709e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.901035806149663188e+01
7.628626294338345382e-01	1.900000000000000000e+01	1.968981860187677668e+01
7.946474973542854148e-01	2.000000000000000000e+01	2.033457877118885193e+01
8.221720589961076797e-01	2.200000000000000000e+01	2.093702631081850285e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.149452036257348198e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.200982638612954645e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.248906522048940460e+01
9.000000000000000222e-01	2.700000000000000000e+01	2.294002723873991201e+01
9.134035676639934431e-01	2.800000000000000000e+01	2.337012267661217280e+01
9.250105790667544348e-01	2.900000000000000000e+01	2.378533075096900973e+01
9.350618368423788684e-01	2.900000000000000000e+01	2.418989456753201850e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.458620807699901434e+01
9.513032474834136609e-01	3.100000000000000000e+01	2.497527224741921970e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.535700779436658081e+01
9.634825872745161890e-01	3.200000000000000000e+01	2.573066832831375450e+01
9.683772233983162225e-01	3.200000000000000000e+01	2.609494581616358033e+01
9.726158036573563370e-01	3.300000000000000000e+01	2.644849907203375849e+01
9.762862629433834982e-01	3.300000000000000000e+01	2.678974609171224230e+01
9.794647497354285193e-01	3.300000000000000000e+01	2.711741415020061297e+01
9.822172058996108124e-01	3.300000000000000000e+01	2.742999930653930818e+01
9.846007347394051257e-01	3.200000000000000000e+01	2.772617283440880698e+01
9.866647856783667958e-01	3.200000000000000000e+01	2.800460542362832683e+01
9.884521801531054308e-01	3.100000000000000000e+01	2.826394641948229847e+01
9.899999999999999911e-01	3.000000000000000000e+01	2.850258184843107045e+01
9.913403567663993110e-01	2.900000000000000000e+01	2.871871171648421850e+01
9.925010579066754213e-01	2.800000000000000000e+01	2.891044056331924494e+01
9.935061836842379313e-01	2.700000000000000000e+01	2.907548723830441872e+01
9.943765867480964804e-01	2.600000000000000000e+01	2.921133817509581831e+01
9.951303247483413994e-01	2.500000000000000000e+01	2.931537913086065927e+01
9.957830349657141866e-01	2.300000000000000000e+01	2.938494642865046913e+01
9.963482587274515856e-01	2.200000000000000000e+01	2.941757400646697107e+01
9.968377223398315889e-01	2.100000000000000000e+01	2.941073944148310915e+01
9.972615803657356448e-01	2.000000000000000000e+01	2.936258748626004333e+01
9.976286262943383498e-01	1.800000000000000000e+01	2.927160644148377955e+01
9.979464749735428297e-01	1.700000000000000000e+01	2.913712151427404962e+01
9.982217205899610590e-01	1.600000000000000000e+01	2.895895414565503145e+01
9.984600734739405015e-01	1.500000000000000000e+01	2.873819991393318674e+01
9.986664785678366352e-01	1.400000000000000000e+01	2.847670680124297604e+01
9.988452180153105653e-01	1.300000000000000000e+01	2.817728163105223871e+01
9.989999999999999991e-01	1.200000000000000000e+01	2.784390651022515328e+01
9.991340356766399422e-01	1.100000000000000000e+01	2.748138190173570550e+01
9.992501057906675310e-01	1.000000000000000000e+01	2.709509337183471089e+01
9.993506183684237598e-01	9.000000000000000000e+00	2.669080647060854261e+01
9.994376586748096036e-01	8.000000000000000000e+00	2.627424873614925716e+01
9.995130324748341399e-01	8.000000000000000000e+00	2.585080071816893010e+01
9.995783034965713965e-01	7.000000000000000000e+00	2.542488538201535775e+01
9.996348258727452141e-01	7.000000000000000000e+00	2.500014007161783525e+01
9.996837722339831922e-01	6.000000000000000000e+00	2.457917965734950627e+01
9.997261580365736089e-01	6.000000000000000000e+00	2.416337932507625297e+01
9.997628626294338128e-01	5.000000000000000000e+00	2.375316602336569716e+01
9.997946474973542497e-01	5.000000000000000000e+00	2.334784304475471473e+01
9.998221720589961503e-01	4.000000000000000000e+00	2.294587150588284175e+01
9.998460073473940390e-01	4.000000000000000000e+00	2.254483339830013122e+01
9.998666478567836968e-01	4.000000000000000000e+00	2.214170540055791392e+01
9.998845218015310898e-01	4.000000000000000000e+00	2.173314867537646222e+01
9.999000000000000110e-01	3.000000000000000000e+00	2.131352265828185821e+01
