#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.175002906468102992e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.265898842364500965e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.357578042890651915e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.439184490585370746e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.508645776652715043e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.571230856693147437e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.631757492210775951e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.693024454636173104e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.756157560278975538e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.821231601751391338e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.887737279742714236e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.954902792359147767e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.021814288577395402e+01
8.460073473940508126e-01	2.200000000000000000e+01	2.087493700909622518e+01
8.666478567836676250e-01	2.300000000000000000e+01	2.150962692677678234e+01
8.845218015310541970e-01	2.400000000000000000e+01	2.211309059545979494e+01
9.000000000000000222e-01	2.500000000000000000e+01	2.267813325837256855e+01
9.134035676639934431e-01	2.600000000000000000e+01	2.320044436460131720e+01
9.250105790667544348e-01	2.600000000000000000e+01	2.367961741533589048e+01
9.350618368423788684e-01	2.700000000000000000e+01	2.411834773120071418e+01
9.437658674809651371e-01	2.700000000000000000e+01	2.452187218509729405e+01
9.513032474834136609e-01	2.700000000000000000e+01	2.489635921040983391e+01
9.578303496571417552e-01	2.700000000000000000e+01	2.524751849740592036e+01
9.634825872745161890e-01	2.700000000000000000e+01	2.557996865306053991e+01
9.683772233983162225e-01	2.600000000000000000e+01	2.589695775774758957e+01
9.726158036573563370e-01	2.600000000000000000e+01	2.619997182448237183e+01
9.762862629433834982e-01	2.500000000000000000e+01	2.648940830897160836e+01
9.794647497354285193e-01	2.500000000000000000e+01	2.676466989203392544e+01
9.822172058996108124e-01	2.400000000000000000e+01	2.702416620142898296e+01
9.846007347394051257e-01	2.300000000000000000e+01	2.726601467219237662e+01
9.866647856783667958e-01	2.200000000000000000e+01	2.748801047788832363e+01
9.884521801531054308e-01	2.100000000000000000e+01	2.768800768307352200e+01
9.899999999999999911e-01	2.100000000000000000e+01	2.786376518936865665e+01
9.913403567663993110e-01	2.000000000000000000e+01	2.801349298680733568e+01
9.925010579066754213e-01	1.900000000000000000e+01	2.813554877364919093e+01
9.935061836842379313e-01	1.800000000000000000e+01	2.822887557153729077e+01
9.943765867480964804e-01	1.700000000000000000e+01	2.829257281069231311e+01
9.951303247483413994e-01	1.600000000000000000e+01	2.832620037544602098e+01
9.957830349657141866e-01	1.500000000000000000e+01	2.832970886271346700e+01
9.963482587274515856e-01	1.400000000000000000e+01	2.830334587114297307e+01
9.968377223398315889e-01	1.300000000000000000e+01	2.824753952802395673e+01
9.972615803657356448e-01	1.200000000000000000e+01	2.816297696694273967e+01
9.976286262943383498e-01	1.200000000000000000e+01	2.805040802023835056e+01
9.979464749735428297e-01	1.100000000000000000e+01	2.791060400687621623e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.774424418276429094e+01
9.984600734739405015e-01	1.000000000000000000e+01	2.755210750460399538e+01
9.986664785678366352e-01	9.000000000000000000e+00	2.733459829100954863e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.709196738924074310e+01
9.989999999999999991e-01	8.000000000000000000e+00	2.682422362826471129e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.653108835549875621e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.621201695071509263e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.586598723841398595e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.549189227183534356e+01
9.995130324748341399e-01	6.000000000000000000e+00	2.508829181904415506e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.465347136855295673e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.418575949820763071e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.368332326994826431e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.314433675463922668e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.256738327062922167e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.195093160060908843e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.129384295763534141e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.059507961439763335e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.985365866382664635e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.906857268304374031e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.823831794121270278e+01
