#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	7.000000000000000000e+00	1.290638521317280585e+01
2.501057906675441256e-01	9.000000000000000000e+00	1.465278659016464857e+01
4.376586748096509272e-01	1.100000000000000000e+01	1.661807801580523858e+01
5.783034965714177744e-01	1.400000000000000000e+01	1.850852351644763871e+01
6.837722339831620033e-01	1.700000000000000000e+01	2.014211509388287169e+01
7.628626294338345382e-01	2.000000000000000000e+01	2.149633895598682187e+01
8.221720589961076797e-01	2.200000000000000000e+01	2.263728696846583688e+01
8.666478567836676250e-01	2.500000000000000000e+01	2.363840583719003163e+01
9.000000000000000222e-01	2.700000000000000000e+01	2.454599356285465461e+01
9.250105790667544348e-01	2.900000000000000000e+01	2.537897033630783739e+01
9.437658674809651371e-01	3.100000000000000000e+01	2.614162797083493928e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.683370606986344598e+01
9.683772233983162225e-01	3.300000000000000000e+01	2.745507541103996729e+01
9.762862629433834982e-01	3.400000000000000000e+01	2.800730194524379613e+01
9.822172058996108124e-01	3.500000000000000000e+01	2.849350181675354321e+01
9.866647856783667958e-01	3.500000000000000000e+01	2.891810911277498519e+01
9.899999999999999911e-01	3.600000000000000000e+01	2.928553379979359761e+01
9.925010579066754213e-01	3.600000000000000000e+01	2.959972698751699483e+01
9.943765867480964804e-01	3.500000000000000000e+01	2.986300453096427887e+01
9.957830349657141866e-01	3.500000000000000000e+01	3.007489471555618721e+01
9.968377223398315889e-01	3.400000000000000000e+01	3.023193693404692439e+01
9.976286262943383498e-01	3.200000000000000000e+01	3.032616627257623065e+01
9.982217205899610590e-01	2.900000000000000000e+01	3.034666114374665113e+01
9.986664785678366352e-01	2.700000000000000000e+01	3.027938882789055697e+01
9.989999999999999991e-01	2.400000000000000000e+01	3.011564442446699630e+01
9.992501057906675310e-01	2.100000000000000000e+01	2.984775827419571215e+01
9.994376586748096036e-01	1.800000000000000000e+01	2.947406170045884011e+01
9.995783034965713965e-01	1.500000000000000000e+01	2.900357659753757389e+01
9.996837722339831922e-01	1.300000000000000000e+01	2.843624240902289557e+01
9.997628626294338128e-01	1.100000000000000000e+01	2.778520211546754837e+01
9.998221720589961503e-01	9.000000000000000000e+00	2.705391238187328895e+01
9.998666478567836968e-01	7.000000000000000000e+00	2.623250044251255275e+01
9.999000000000000110e-01	6.000000000000000000e+00	2.532400490538913473e+01
