#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.256139501925940394e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.214855667206210654e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.373964752995794747e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.576061826205386929e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.773878317325308274e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.948993597165840441e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.099456358680223644e+01
8.666478567836676250e-01	2.300000000000000000e+01	2.228472959245998908e+01
9.000000000000000222e-01	2.400000000000000000e+01	2.339886249942876617e+01
9.250105790667544348e-01	2.500000000000000000e+01	2.436752049224606509e+01
9.437658674809651371e-01	2.500000000000000000e+01	2.521087685591001559e+01
9.578303496571417552e-01	2.500000000000000000e+01	2.594183692749694714e+01
9.683772233983162225e-01	2.400000000000000000e+01	2.656817841354926912e+01
9.762862629433834982e-01	2.300000000000000000e+01	2.709447643864697142e+01
9.822172058996108124e-01	2.100000000000000000e+01	2.752332470937972531e+01
9.866647856783667958e-01	2.000000000000000000e+01	2.785582186733126520e+01
9.899999999999999911e-01	1.800000000000000000e+01	2.809263668841705197e+01
9.925010579066754213e-01	1.700000000000000000e+01	2.823412546216355068e+01
9.943765867480964804e-01	1.500000000000000000e+01	2.828089515502797013e+01
9.957830349657141866e-01	1.300000000000000000e+01	2.823374528014703699e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.809335761992519309e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.785984156471224793e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.753267130482098679e+01
9.986664785678366352e-01	8.000000000000000000e+00	2.710998029928358122e+01
9.989999999999999991e-01	7.000000000000000000e+00	2.658849851193878777e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.596378410740871345e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.522984790745821826e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.437942894783887482e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.340377150254914440e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.229252981556674840e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.103298568722939521e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.960788805312397898e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.799201971815097778e+01
