#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.235016882420358897e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.347739901390781370e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.531230937684029314e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.725358162083930225e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.902102213354908500e+01
7.628626294338345382e-01	1.900000000000000000e+01	2.051554340880317184e+01
8.221720589961076797e-01	2.200000000000000000e+01	2.178030107170540930e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.288373615572153597e+01
9.000000000000000222e-01	2.700000000000000000e+01	2.387123303463284429e+01
9.250105790667544348e-01	2.900000000000000000e+01	2.476425999759169372e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.557151159251433015e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.629695413720028085e+01
9.683772233983162225e-01	3.300000000000000000e+01	2.694342671872432149e+01
9.762862629433834982e-01	3.300000000000000000e+01	2.751368957196573817e+01
9.822172058996108124e-01	3.400000000000000000e+01	2.801038714862100676e+01
9.866647856783667958e-01	3.300000000000000000e+01	2.843530375732950333e+01
9.899999999999999911e-01	3.200000000000000000e+01	2.878840661235340903e+01
9.925010579066754213e-01	3.100000000000000000e+01	2.906673657944157441e+01
9.943765867480964804e-01	2.900000000000000000e+01	2.926455536171825145e+01
9.957830349657141866e-01	2.600000000000000000e+01	2.937411074432625213e+01
9.968377223398315889e-01	2.300000000000000000e+01	2.938826317677422395e+01
9.976286262943383498e-01	2.100000000000000000e+01	2.930223521661368835e+01
9.982217205899610590e-01	1.800000000000000000e+01	2.911489577705468790e+01
9.986664785678366352e-01	1.500000000000000000e+01	2.882795810064597219e+01
9.989999999999999991e-01	1.300000000000000000e+01	2.844523873249991652e+01
9.992501057906675310e-01	1.100000000000000000e+01	2.797131474462988621e+01
9.994376586748096036e-01	1.000000000000000000e+01	2.741013766618583247e+01
9.995783034965713965e-01	8.000000000000000000e+00	2.676377779818798430e+01
9.996837722339831922e-01	7.000000000000000000e+00	2.603035566033107528e+01
9.997628626294338128e-01	6.000000000000000000e+00	2.520171179735168465e+01
9.998221720589961503e-01	5.000000000000000000e+00	2.425903156722522880e+01
9.998666478567836968e-01	4.000000000000000000e+00	2.316993961287711556e+01
9.999000000000000110e-01	3.000000000000000000e+00	2.187105189298282681e+01
